Stock A,Stock B,Correlation,Lag
ICICIBANK.NS,UNIONBANK.NS,-0.8508690716840595,20
SBIN.NS,KOTAKBANK.NS,-0.35167703864446387,3
SBIN.NS,BANKBARODA.NS,0.5213626719887072,0
SBIN.NS,PNB.NS,0.3558812343328993,-20
SBIN.NS,UNIONBANK.NS,0.29861192789052315,-20
KOTAKBANK.NS,BANKBARODA.NS,-0.654851339353958,-1
KOTAKBANK.NS,PNB.NS,-0.5631985471746934,-3
KOTAKBANK.NS,UNIONBANK.NS,-0.6075322176245668,19
BANKBARODA.NS,PNB.NS,0.8321769651750699,0
BANKBARODA.NS,UNIONBANK.NS,0.80707424934761,0
PNB.NS,UNIONBANK.NS,0.926905605665008,0
