Stock A,Stock B,Correlation,Lag,Category
SHRIRAMFIN.NS,BAJAJHLDNG.NS,0.7681128782572128,50,Positive
SHRIRAMFIN.NS,CHOLAFIN.NS,0.7686505574738921,0,Positive
SHRIRAMFIN.NS,BAJAJFINSV.NS,0.6467472975241044,0,Positive
SHRIRAMFIN.NS,BAJFINANCE.NS,0.36243051796179665,-51,No Correlation
SHRIRAMFIN.NS,INDUSINDBK.NS,-0.8700792606801473,60,Negative
SHRIRAMFIN.NS,HINDALCO.NS,0.6443681504363162,0,Positive
SHRIRAMFIN.NS,COALINDIA.NS,-0.7954368049337204,60,Negative
SHRIRAMFIN.NS,HDFCBANK.NS,0.781472033266094,41,Positive
SHRIRAMFIN.NS,SUNPHARMA.NS,0.8746643849057649,15,Positive
SHRIRAMFIN.NS,ZOMATO.NS,0.8520197083403517,0,Positive
SHRIRAMFIN.NS,AXISBANK.NS,0.7261102917471737,-51,Positive
SHRIRAMFIN.NS,JSWSTEEL.NS,0.7985222738146442,0,Positive
SHRIRAMFIN.NS,ICICIGI.NS,0.9002592111574711,0,Positive
SHRIRAMFIN.NS,NAUKRI.NS,0.818952189664284,46,Positive
SHRIRAMFIN.NS,NESTLEIND.NS,-0.763045499823085,57,Negative
SHRIRAMFIN.NS,RELIANCE.NS,-0.8368835686102308,60,Negative
SHRIRAMFIN.NS,INDIGO.NS,0.7700809852408698,-4,Positive
SHRIRAMFIN.NS,BHARTIARTL.NS,0.7782923888833696,9,Positive
SHRIRAMFIN.NS,ICICIBANK.NS,0.7872211973486115,48,Positive
SHRIRAMFIN.NS,WIPRO.NS,0.802470644797019,60,Positive
SHRIRAMFIN.NS,POWERGRID.NS,0.7807091750590512,-29,Positive
SHRIRAMFIN.NS,TITAN.NS,-0.2998192982346884,-32,No Correlation
SHRIRAMFIN.NS,ATGL.NS,-0.7898597107505373,50,Negative
SHRIRAMFIN.NS,SHREECEM.NS,0.6668149459007057,-60,Positive
