Stock A,Stock B,Correlation,Lag,Category
SHRIRAMFIN.NS,TATAMOTORS.NS,-0.8790426327772158,86,Negative
SHRIRAMFIN.NS,DABUR.NS,-0.8807859983817085,74,Negative
SHRIRAMFIN.NS,ONGC.NS,-0.792316845487373,86,Negative
SHRIRAMFIN.NS,IRFC.NS,-0.8084874546353702,-120,Negative
SHRIRAMFIN.NS,DIVISLAB.NS,0.8888867193984754,50,Positive
SHRIRAMFIN.NS,GAIL.NS,-0.9383201768615511,95,Negative
SHRIRAMFIN.NS,LTIM.NS,0.8307001832913511,4,Positive
SHRIRAMFIN.NS,IRCTC.NS,-0.879609107291248,82,Negative
SHRIRAMFIN.NS,ADANIGREEN.NS,-0.905202003604094,89,Negative
SHRIRAMFIN.NS,VEDL.NS,-0.7136840450732627,-120,Negative
SHRIRAMFIN.NS,EICHERMOT.NS,-0.7411496919875447,-120,Negative
SHRIRAMFIN.NS,CANBK.NS,-0.8180478774971606,86,Negative
SHRIRAMFIN.NS,IOC.NS,-0.927074181368082,88,Negative
SHRIRAMFIN.NS,GRASIM.NS,-0.8433518917482832,83,Negative
SHRIRAMFIN.NS,TVSMOTOR.NS,0.8976143243057245,-3,Positive
SHRIRAMFIN.NS,HEROMOTOCO.NS,-0.9257674850090973,83,Negative
SHRIRAMFIN.NS,MOTHERSON.NS,-0.932476825222533,98,Negative
SHRIRAMFIN.NS,DLF.NS,-0.7975434390664937,100,Negative
SHRIRAMFIN.NS,BPCL.NS,-0.9263562687335716,97,Negative
SHRIRAMFIN.NS,JSWENERGY.NS,-0.8711873845857383,89,Negative
SHRIRAMFIN.NS,BAJAJ-AUTO.NS,0.788877195784415,-3,Positive
SHRIRAMFIN.NS,M&M.NS,-0.7950777839326765,-120,Negative
SHRIRAMFIN.NS,TRENT.NS,0.9138744242372125,7,Positive
SHRIRAMFIN.NS,TATAPOWER.NS,-0.8699213099448089,97,Negative
SHRIRAMFIN.NS,ABB.NS,-0.9270089841629129,99,Negative
SHRIRAMFIN.NS,SIEMENS.NS,-0.756175602028978,101,Negative
SHRIRAMFIN.NS,BHEL.NS,-0.8919437530885378,88,Negative
SHRIRAMFIN.NS,ULTRACEMCO.NS,0.7882640173991087,0,Positive
SHRIRAMFIN.NS,HAVELLS.NS,-0.8792240765056655,86,Negative
SHRIRAMFIN.NS,VBL.NS,0.6424119394995756,-54,Positive
BAJAJHLDNG.NS,CHOLAFIN.NS,0.803582822985922,-102,Positive
BAJAJHLDNG.NS,BAJAJFINSV.NS,0.6313544616234934,-103,Positive
BAJAJHLDNG.NS,BAJFINANCE.NS,0.6349741215152939,120,Positive
BAJAJHLDNG.NS,INDUSINDBK.NS,-0.9073109064211367,78,Negative
BAJAJHLDNG.NS,HINDALCO.NS,-0.7859098009313681,88,Negative
