Date,AXISBANK.NS,BRITANNIA.NS,HCLTECH.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,ITC.NS,KOTAKBANK.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,RELIANCE.NS,TATAMOTORS.NS,TATAPOWER.NS,TCS.NS,TITAN.NS,WIPRO.NS
2020-01-06,720.1124267578125,2735.28076171875,490.2642517089844,1191.285400390625,1980.249755859375,1776.254638671875,508.1724853515625,657.3948364257812,189.30715942382812,1647.572265625,6761.93212890625,1360.26318359375,89.99423217773438,669.44775390625,184.50381469726562,53.12747573852539,,1131.8052978515625,119.05403137207031
2020-01-07,722.6015625,2748.449951171875,492.1595764160156,1210.1490478515625,1963.44189453125,1781.1231689453125,505.4658203125,647.652099609375,189.5084686279297,1665.817138671875,6791.8896484375,1348.3841552734375,91.24308013916016,679.7469482421875,183.55967712402344,52.9870491027832,,1133.1240234375,120.49410247802734
2020-01-08,721.3569946289062,2736.683349609375,493.4230651855469,1206.9810791015625,1937.93798828125,1789.144775390625,508.4140625,639.0214233398438,188.58245849609375,1649.865234375,6755.01904296875,1357.8665771484375,90.78894805908203,674.6419067382812,181.42295837402344,52.659393310546875,,1116.8592529296875,120.30524444580078
2020-01-09,739.6273803710938,2716.318603515625,488.83209228515625,1220.5169677734375,1968.8768310546875,1794.430419921875,528.0855102539062,647.340576171875,189.87081909179688,1660.0345458984375,6940.044921875,1381.66259765625,90.33482360839844,690.179931640625,190.8146209716797,54.110450744628906,,1136.54296875,119.76226043701172
2020-01-10,736.8395385742188,2706.0458984375,488.874267578125,1231.3643798828125,1976.3197021484375,1812.003173828125,522.2373657226562,656.7721557617188,191.64230346679688,1679.625244140625,7038.55859375,1385.663330078125,91.05387115478516,690.0238647460938,195.13775634765625,55.18704605102539,,1127.360595703125,118.86517333984375
2020-01-13,734.2010498046875,2756.1435546875,494.0548400878906,1234.532470703125,1979.0789794921875,1849.884765625,520.642333984375,688.2693481445312,192.64881896972656,1686.0059814453125,7059.87451171875,1383.059326171875,92.15135192871094,688.2626953125,195.0383758544922,55.60831832885742,,1132.147216796875,120.30524444580078
2020-01-14,744.6554565429688,2810.4951171875,500.6253356933594,1237.8924560546875,2016.4151611328125,1862.8209228515625,519.6756591796875,690.1377563476562,195.8697052001953,1671.7491455078125,7092.6162109375,1402.906494140625,93.47591400146484,681.8869018554688,194.64083862304688,56.35725021362305,,1140.108642578125,121.43842315673828
2020-01-15,743.0623779296875,2818.68603515625,501.846923828125,1232.8525390625,2070.684326171875,1874.7374267578125,517.7423095703125,682.9307861328125,195.18524169921875,1670.5526123046875,7184.93701171875,1402.1138916015625,93.74082946777344,679.4125366210938,199.11306762695312,57.012569427490234,,1157.447998046875,117.21263122558594
2020-01-16,734.1015014648438,2851.315673828125,499.7409362792969,1236.116455078125,2035.7315673828125,1900.33154296875,519.2407836914062,682.44140625,193.8566436767578,1696.424560546875,7165.44482421875,1448.790771484375,91.92428588867188,685.6767578125,196.33035278320312,57.1061897277832,,1165.3121337890625,118.2513656616211
2020-01-17,736.690185546875,2827.9638671875,504.416259765625,1226.99658203125,2052.037109375,1910.57861328125,514.3106689453125,683.19775390625,193.21246337890625,1692.9849853515625,7220.6552734375,1456.768310546875,91.73506927490234,704.8929443359375,196.08189392089844,57.62107849121094,,1161.2579345703125,118.55826568603516
2020-01-20,724.0452880859375,2815.2919921875,496.3714599609375,1204.67724609375,2019.927001953125,1912.943359375,517.017333984375,683.7316284179688,194.7826385498047,1613.0264892578125,7152.91552734375,1454.673583984375,89.50225067138672,683.2022705078125,193.7960968017578,56.4040641784668,,1160.378662109375,117.09458923339844
2020-01-21,714.4868774414062,2816.01611328125,491.99102783203125,1194.5494384765625,2005.795166015625,1906.034423828125,513.3440551757812,678.4375,192.004638671875,1620.204833984375,7011.81689453125,1441.794189453125,88.66966247558594,683.8933715820312,190.2183074951172,55.748741149902344,,1148.9981689453125,116.6696548461914
2020-01-22,709.508544921875,2811.58154296875,497.55096435546875,1191.189453125,2006.088134765625,1902.603515625,505.41741943359375,685.28857421875,191.6825408935547,1580.7242431640625,6851.4208984375,1467.0765380859375,84.88521575927734,683.6480712890625,184.45413208007812,55.3742790222168,,1150.414794921875,116.07945251464844
2020-01-23,719.8634643554688,2817.554931640625,504.5424499511719,1195.0294189453125,2031.759521484375,1907.425537109375,510.105712890625,697.878662109375,191.561767578125,1601.0126953125,6862.46240234375,1467.09033203125,85.9070053100586,680.7501220703125,187.23683166503906,56.31044387817383,,1176.2529296875,117.42508697509766
2020-01-24,734.2010498046875,2889.55615234375,513.62841796875,1194.741455078125,2064.28759765625,1923.004638671875,516.0507202148438,696.455078125,191.76304626464844,1638.0010986328125,6844.55517578125,1486.5888671875,86.8531265258789,678.3871459960938,185.3485565185547,57.29342269897461,,1199.4537353515625,117.37769317626953
2020-01-27,737.0386962890625,2872.992919921875,510.79693603515625,1164.6458740234375,2053.5009765625,1911.5521240234375,519.3373413085938,692.317626953125,188.90455627441406,1613.47509765625,6864.09423828125,1478.1488037109375,85.6421127319336,671.6992797851562,181.07510375976562,56.82533645629883,,1185.7286376953125,116.31104278564453
2020-01-28,733.9520874023438,2879.373779296875,508.3458557128906,1174.24560546875,2064.45458984375,1910.856689453125,510.5890808105469,692.2286987304688,185.80445861816406,1621.1519775390625,6718.38818359375,1454.6170654296875,84.80953216552734,656.18359375,175.01278686523438,56.87214660644531,,1167.363525390625,115.69477081298828
2020-01-29,732.060302734375,2909.197021484375,514.6004028320312,1186.3895263671875,2079.088623046875,1923.4681396484375,509.04241943359375,702.638916015625,190.5552520751953,1635.5086669921875,6731.1103515625,1497.085693359375,85.67993927001953,659.7950439453125,186.88900756835938,57.012569427490234,,1158.766845703125,116.97473907470703
2020-01-30,727.729248046875,2906.029296875,513.7550659179688,1176.9818115234375,2075.701904296875,1908.5384521484375,514.4557495117188,694.6311645507812,188.46165466308594,1623.3453369140625,6740.8564453125,1464.444091796875,86.02054595947266,643.69970703125,185.0504150390625,56.450870513916016,,1151.977783203125,114.10665893554688
