Stock A,Stock B,Correlation,Lag,Category
SHRIRAMFIN.NS,TATAMOTORS.NS,-0.4126638355663418,20,No Correlation
SHRIRAMFIN.NS,DABUR.NS,0.7649457210751414,-20,Positive
SHRIRAMFIN.NS,ONGC.NS,0.6281448933643125,-20,Positive
SHRIRAMFIN.NS,IRFC.NS,0.5379271266535154,-20,Positive
SHRIRAMFIN.NS,DIVISLAB.NS,0.8498370615088731,20,Positive
SHRIRAMFIN.NS,GAIL.NS,0.7743118664663056,-20,Positive
SHRIRAMFIN.NS,LTIM.NS,0.8804081998936335,7,Positive
SHRIRAMFIN.NS,IRCTC.NS,-0.7029249927697286,20,Negative
SHRIRAMFIN.NS,ADANIGREEN.NS,-0.3270180679730854,20,No Correlation
SHRIRAMFIN.NS,VEDL.NS,0.6941450483034461,-1,Positive
SHRIRAMFIN.NS,EICHERMOT.NS,0.6626793969545879,-20,Positive
SHRIRAMFIN.NS,CANBK.NS,-0.7066229379430313,20,Negative
SHRIRAMFIN.NS,IOC.NS,-0.3864435071126099,20,No Correlation
SHRIRAMFIN.NS,GRASIM.NS,0.8560698743390058,-4,Positive
SHRIRAMFIN.NS,TVSMOTOR.NS,0.9634235012568311,-8,Positive
SHRIRAMFIN.NS,HEROMOTOCO.NS,0.7036562623994367,-20,Positive
SHRIRAMFIN.NS,MOTHERSON.NS,0.8736987198705803,-8,Positive
SHRIRAMFIN.NS,DLF.NS,-0.3745731585408679,-20,No Correlation
SHRIRAMFIN.NS,BPCL.NS,0.7093870700299721,-20,Positive
SHRIRAMFIN.NS,JSWENERGY.NS,0.8222797415818011,-14,Positive
SHRIRAMFIN.NS,BAJAJ-AUTO.NS,0.8449835905225055,-6,Positive
SHRIRAMFIN.NS,M&M.NS,0.7322034030456779,-1,Positive
SHRIRAMFIN.NS,TRENT.NS,0.9564586571338132,6,Positive
SHRIRAMFIN.NS,TATAPOWER.NS,0.46688688854818045,-14,No Correlation
SHRIRAMFIN.NS,ABB.NS,0.6405575642871314,-20,Positive
SHRIRAMFIN.NS,SIEMENS.NS,0.6479749155263866,-11,Positive
SHRIRAMFIN.NS,BHEL.NS,-0.4028328815519799,20,No Correlation
SHRIRAMFIN.NS,ULTRACEMCO.NS,0.8304136073108705,-4,Positive
SHRIRAMFIN.NS,HAVELLS.NS,0.790325574084094,-20,Positive
SHRIRAMFIN.NS,VBL.NS,0.5263543029818044,-6,Positive
BAJAJHLDNG.NS,CHOLAFIN.NS,0.4664525990398851,-20,No Correlation
BAJAJHLDNG.NS,BAJAJFINSV.NS,0.605654121202983,4,Positive
BAJAJHLDNG.NS,BAJFINANCE.NS,0.5174580752410418,0,Positive
BAJAJHLDNG.NS,INDUSINDBK.NS,-0.8422001154938211,20,Negative
BAJAJHLDNG.NS,HINDALCO.NS,0.44425557354745193,-20,No Correlation
BAJAJHLDNG.NS,COALINDIA.NS,-0.5646742142541378,20,Negative
BAJAJHLDNG.NS,HDFCBANK.NS,0.8937884613531402,-17,Positive
BAJAJHLDNG.NS,SUNPHARMA.NS,0.8833949394430645,10,Positive
BAJAJHLDNG.NS,ZOMATO.NS,0.8875538774925126,-20,Positive
BAJAJHLDNG.NS,AXISBANK.NS,-0.4755756597478556,20,No Correlation
BAJAJHLDNG.NS,JSWSTEEL.NS,0.7597105002428437,-20,Positive
BAJAJHLDNG.NS,ICICIGI.NS,0.7020080684158261,-13,Positive
BAJAJHLDNG.NS,NAUKRI.NS,0.9252144520857035,-20,Positive
BAJAJHLDNG.NS,NESTLEIND.NS,-0.7148818874888743,20,Negative
BAJAJHLDNG.NS,RELIANCE.NS,-0.8147106833400592,20,Negative
BAJAJHLDNG.NS,INDIGO.NS,0.6760843382917829,-20,Positive
BAJAJHLDNG.NS,BHARTIARTL.NS,0.8885806340996929,-17,Positive
BAJAJHLDNG.NS,ICICIBANK.NS,0.9048513220821403,-7,Positive
BAJAJHLDNG.NS,WIPRO.NS,0.9291613729614139,-1,Positive
BAJAJHLDNG.NS,POWERGRID.NS,0.6158431714652762,-20,Positive
BAJAJHLDNG.NS,TITAN.NS,-0.4048495675837851,-20,No Correlation
BAJAJHLDNG.NS,ATGL.NS,-0.9421819146869741,20,Negative
BAJAJHLDNG.NS,SHREECEM.NS,0.20664811734098393,0,No Correlation
BAJAJHLDNG.NS,ADANIPORTS.NS,-0.6051575259263802,20,Negative
BAJAJHLDNG.NS,SBILIFE.NS,0.30830772614846685,-20,No Correlation
BAJAJHLDNG.NS,DRREDDY.NS,0.5226956053659615,-20,Positive
BAJAJHLDNG.NS,TATACONSUM.NS,-0.6032419124229185,20,Negative
BAJAJHLDNG.NS,INFY.NS,0.9275307492550119,3,Positive
BAJAJHLDNG.NS,BRITANNIA.NS,0.293198126801318,-20,No Correlation
BAJAJHLDNG.NS,ZYDUSLIFE.NS,-0.37480692118361225,20,No Correlation
BAJAJHLDNG.NS,ADANIENT.NS,-0.7980104425231291,0,Negative
BAJAJHLDNG.NS,HAL.NS,0.4151614657485184,-20,No Correlation
BAJAJHLDNG.NS,ADANIENSOL.NS,-0.7768856500741439,0,Negative
BAJAJHLDNG.NS,LODHA.NS,-0.3492121349340419,20,No Correlation
BAJAJHLDNG.NS,TCS.NS,0.6666676067617366,-11,Positive
BAJAJHLDNG.NS,JINDALSTEL.NS,-0.49988446545691023,20,No Correlation
BAJAJHLDNG.NS,ITC.NS,0.7044397447951085,-20,Positive
BAJAJHLDNG.NS,TATASTEEL.NS,-0.8827348144904259,20,Negative
BAJAJHLDNG.NS,HINDUNILVR.NS,0.4536461318737033,-20,No Correlation
BAJAJHLDNG.NS,HDFCLIFE.NS,0.5870087585842294,-20,Positive
BAJAJHLDNG.NS,BANKBARODA.NS,-0.8699822941061572,9,Negative
BAJAJHLDNG.NS,PFC.NS,0.4859426811345429,-20,No Correlation
BAJAJHLDNG.NS,DMART.NS,-0.6834355272269009,20,Negative
BAJAJHLDNG.NS,SBIN.NS,-0.37409005789733846,20,No Correlation
BAJAJHLDNG.NS,GODREJCP.NS,-0.5063750938614066,20,Negative
BAJAJHLDNG.NS,UNITDSPR.NS,0.933761257834111,-20,Positive
BAJAJHLDNG.NS,UNIONBANK.NS,-0.9308340886286154,-11,Negative
BAJAJHLDNG.NS,KOTAKBANK.NS,0.6858045959929291,0,Positive
BAJAJHLDNG.NS,ADANIPOWER.NS,-0.7050819629667504,20,Negative
BAJAJHLDNG.NS,BOSCHLTD.NS,0.7143351366219509,-20,Positive
BAJAJHLDNG.NS,HCLTECH.NS,0.9016931427634234,10,Positive
BAJAJHLDNG.NS,MARUTI.NS,-0.49637587869558203,20,No Correlation
BAJAJHLDNG.NS,AMBUJACEM.NS,-0.822323021641961,20,Negative
BAJAJHLDNG.NS,NTPC.NS,0.3267841706642722,-20,No Correlation
BAJAJHLDNG.NS,LT.NS,0.27142054018642037,-20,No Correlation
BAJAJHLDNG.NS,ASIANPAINT.NS,-0.5229159330156907,20,Negative
BAJAJHLDNG.NS,RECLTD.NS,0.4481633560484796,-20,No Correlation
BAJAJHLDNG.NS,APOLLOHOSP.NS,0.8949370493581534,-7,Positive
BAJAJHLDNG.NS,PIDILITIND.NS,0.4435985423394037,-20,No Correlation
BAJAJHLDNG.NS,ICICIPRULI.NS,0.7273891180653449,-20,Positive
BAJAJHLDNG.NS,TORNTPHARM.NS,0.9093014548145193,-17,Positive
BAJAJHLDNG.NS,PNB.NS,-0.9631035368606842,10,Negative
BAJAJHLDNG.NS,BEL.NS,0.7313369433642891,-20,Positive
BAJAJHLDNG.NS,TECHM.NS,0.9683313107054397,-11,Positive
BAJAJHLDNG.NS,LICI.NS,-0.6202217983012432,20,Negative
BAJAJHLDNG.NS,CIPLA.NS,0.5181215484949107,-20,Positive
BAJAJHLDNG.NS,NHPC.NS,-0.8428752200251827,20,Negative
BAJAJHLDNG.NS,JIOFIN.NS,-0.7830486489672179,20,Negative
BAJAJHLDNG.NS,TATAMOTORS.NS,-0.7416939123925242,20,Negative
BAJAJHLDNG.NS,DABUR.NS,-0.3293177342403936,20,No Correlation
BAJAJHLDNG.NS,ONGC.NS,-0.3547057347096828,20,No Correlation
BAJAJHLDNG.NS,IRFC.NS,-0.5943030649014989,20,Negative
BAJAJHLDNG.NS,DIVISLAB.NS,0.9494804184281898,-20,Positive
BAJAJHLDNG.NS,GAIL.NS,-0.3630460335021253,20,No Correlation
BAJAJHLDNG.NS,LTIM.NS,0.8922833873939786,-6,Positive
BAJAJHLDNG.NS,IRCTC.NS,-0.9620055485492589,20,Negative
BAJAJHLDNG.NS,ADANIGREEN.NS,-0.7338442487252888,0,Negative
BAJAJHLDNG.NS,VEDL.NS,0.7160703844079778,-20,Positive
BAJAJHLDNG.NS,EICHERMOT.NS,0.7771636673698787,-20,Positive
BAJAJHLDNG.NS,CANBK.NS,-0.9430683607125936,12,Negative
BAJAJHLDNG.NS,IOC.NS,-0.7531272444582751,20,Negative
BAJAJHLDNG.NS,GRASIM.NS,0.6425220904530086,-20,Positive
BAJAJHLDNG.NS,TVSMOTOR.NS,0.711259999996141,-20,Positive
BAJAJHLDNG.NS,HEROMOTOCO.NS,-0.4338145217576491,20,No Correlation
BAJAJHLDNG.NS,MOTHERSON.NS,0.6359289506824359,-20,Positive
BAJAJHLDNG.NS,DLF.NS,-0.6560825206921316,-20,Negative
BAJAJHLDNG.NS,BPCL.NS,-0.27557351186295465,20,No Correlation
BAJAJHLDNG.NS,JSWENERGY.NS,0.5760278973840907,-20,Positive
BAJAJHLDNG.NS,BAJAJ-AUTO.NS,0.37483983802227683,-20,No Correlation
BAJAJHLDNG.NS,M&M.NS,0.891063113357139,-20,Positive
BAJAJHLDNG.NS,TRENT.NS,0.876935697985973,-20,Positive
BAJAJHLDNG.NS,TATAPOWER.NS,-0.49789772983788383,20,No Correlation
BAJAJHLDNG.NS,ABB.NS,-0.41563920882556754,20,No Correlation
BAJAJHLDNG.NS,SIEMENS.NS,0.6087947476567703,-20,Positive
BAJAJHLDNG.NS,BHEL.NS,-0.7880743385241762,20,Negative
BAJAJHLDNG.NS,ULTRACEMCO.NS,0.825586355023993,-20,Positive
BAJAJHLDNG.NS,HAVELLS.NS,0.3766664241218223,-20,No Correlation
BAJAJHLDNG.NS,VBL.NS,0.4997885952268019,-20,No Correlation
CHOLAFIN.NS,BAJAJFINSV.NS,0.6272971750415834,2,Positive
CHOLAFIN.NS,BAJFINANCE.NS,0.5092171596198034,-8,Positive
CHOLAFIN.NS,INDUSINDBK.NS,0.18134335843906324,-20,No Correlation
CHOLAFIN.NS,HINDALCO.NS,0.8533076819557722,6,Positive
CHOLAFIN.NS,COALINDIA.NS,0.6560737483071801,-20,Positive
CHOLAFIN.NS,HDFCBANK.NS,0.5375869517703423,20,Positive
CHOLAFIN.NS,SUNPHARMA.NS,0.6471704181665154,20,Positive
CHOLAFIN.NS,ZOMATO.NS,0.65574815454628,20,Positive
CHOLAFIN.NS,AXISBANK.NS,0.6547992899585764,4,Positive
CHOLAFIN.NS,JSWSTEEL.NS,0.7663475698770106,7,Positive
CHOLAFIN.NS,ICICIGI.NS,0.8024908737503845,5,Positive
CHOLAFIN.NS,NAUKRI.NS,0.5918280403115721,20,Positive
CHOLAFIN.NS,NESTLEIND.NS,0.24507664459362716,-7,No Correlation
CHOLAFIN.NS,RELIANCE.NS,0.3624305864776737,-20,No Correlation
CHOLAFIN.NS,INDIGO.NS,0.883015726775372,-2,Positive
CHOLAFIN.NS,BHARTIARTL.NS,0.698888960763582,10,Positive
CHOLAFIN.NS,ICICIBANK.NS,0.6223691527279804,20,Positive
CHOLAFIN.NS,WIPRO.NS,0.2723028156151467,20,No Correlation
CHOLAFIN.NS,POWERGRID.NS,0.7890347060620346,8,Positive
CHOLAFIN.NS,TITAN.NS,-0.2455273708325941,20,No Correlation
CHOLAFIN.NS,ATGL.NS,-0.3729091223271917,20,No Correlation
CHOLAFIN.NS,SHREECEM.NS,0.21493412232556197,-1,No Correlation
CHOLAFIN.NS,ADANIPORTS.NS,0.6216829537036415,-20,Positive
