Date,SHRIRAMFIN.NS,BAJAJHLDNG.NS,CHOLAFIN.NS,BAJAJFINSV.NS,BAJFINANCE.NS,INDUSINDBK.NS,HINDALCO.NS,COALINDIA.NS,HDFCBANK.NS,SUNPHARMA.NS,ZOMATO.NS,AXISBANK.NS,JSWSTEEL.NS,ICICIGI.NS,NAUKRI.NS,NESTLEIND.NS,RELIANCE.NS,INDIGO.NS,BHARTIARTL.NS,ICICIBANK.NS,WIPRO.NS,POWERGRID.NS,TITAN.NS,ATGL.NS,SHREECEM.NS,ADANIPORTS.NS,SBILIFE.NS,DRREDDY.NS,TATACONSUM.NS,INFY.NS,BRITANNIA.NS,ZYDUSLIFE.NS,ADANIENT.NS,HAL.NS,ADANIENSOL.NS,LODHA.NS,TCS.NS,JINDALSTEL.NS,ITC.NS,TATASTEEL.NS,HINDUNILVR.NS,HDFCLIFE.NS,BANKBARODA.NS,PFC.NS,DMART.NS,SBIN.NS,GODREJCP.NS,UNITDSPR.NS,UNIONBANK.NS,KOTAKBANK.NS,ADANIPOWER.NS,BOSCHLTD.NS,HCLTECH.NS,MARUTI.NS,AMBUJACEM.NS,NTPC.NS,LT.NS,ASIANPAINT.NS,RECLTD.NS,APOLLOHOSP.NS,PIDILITIND.NS,ICICIPRULI.NS,TORNTPHARM.NS,PNB.NS,BEL.NS,TECHM.NS,LICI.NS,CIPLA.NS,NHPC.NS,JIOFIN.NS,TATAMOTORS.NS,DABUR.NS,ONGC.NS,IRFC.NS,DIVISLAB.NS,GAIL.NS,LTIM.NS,IRCTC.NS,ADANIGREEN.NS,VEDL.NS,EICHERMOT.NS,CANBK.NS,IOC.NS,GRASIM.NS,TVSMOTOR.NS,HEROMOTOCO.NS,MOTHERSON.NS,DLF.NS,BPCL.NS,JSWENERGY.NS,BAJAJ-AUTO.NS,M&M.NS,TRENT.NS,TATAPOWER.NS,ABB.NS,SIEMENS.NS,BHEL.NS,ULTRACEMCO.NS,HAVELLS.NS,VBL.NS
12/3/2024,484.3500061,8594.150391,1066.449951,1593.550049,6436.049805,1533.050049,528.9500122,449.2999878,1459.550049,1584.300049,156.8999939,1097,817.7999878,1661.099976,5154.100098,2590.149902,1475.425049,3242.949951,1204.25,1076.849976,255.4250031,285.1499939,3748.800049,965.0999756,24960.40039,1301.300049,1516.400024,1260.430054,1215.199951,1612.949951,4869.149902,987.7000122,3122.5,3267.550049,1037.25,1121.050049,4192.25,807.1500244,404.4500122,152.5,2378.149902,621.5499878,271.6000061,429.0499878,4031.699951,759.7000122,1212.349976,1132.85,150.3999939,1720.349976,556.0999756,29473,1635.599976,11509.90039,587.5499878,344.75,3621.649902,2876.149902,483.5,6144.799805,2855.899902,600.5,2673.949951,125.9499969,204.25,1292.300049,986.25,1465.75,86.65000153,361.8500061,1016.5,529,270.3999939,136.75,3577.75,179.8999939,5209.200195,920.9500122,1897.099976,270.2999878,3810.75,113.3799973,172.8999939,2184,2242.600098,4658.899902,116,864.4000244,312.7250061,509.2999878,8527.700195,1895.150024,4008.600098,396.1000061,5718,4782.450195,244.1000061,9615.5,1502,569.0200195
13-03-2024,464.2799988,8369,1048.300049,1573.150024,6456.149902,1502.650024,507,417.0499878,1460.400024,1558.599976,148.6499939,1080.400024,792.9500122,1643.25,5107.200195,2582.949951,1432.175049,3112.550049,1168.75,1083.949951,252.1999969,264.2999878,3625.699951,873,24360.34961,1209.550049,1487.349976,1260.76001,1178.949951,1611.400024,4856.649902,968.6500244,2906.199951,3039.5,947.9500122,1012.599976,4149,764.2000122,422.4500122,143.6499939,2312.600098,610.0499878,260.8999939,397.6000061,3967.800049,747.25,1196.050049,1109.30,141.5500031,1729.550049,528.2999878,28300.30078,1631.5,11390.15039,559.25,322.5,3538.550049,2860.149902,448.5,6008.399902,2823.199951,573.5499878,2663.949951,118.8000031,190.3000031,1277.199951,909.75,1471.25,78.15000153,328.2000122,973.2000122,519.9500122,255.3500061,124.25,3479.800049,168.6999969,5195,880.6500244,1725,251.8999939,3735.550049,107.2900009,163.3500061,2149.100098,2146.25,4512.100098,110.1999969,830.1500244,298.875,461.0499878,8384.900391,1853.699951,3944.050049,371.9500122,5597.25,4650.100098,225.3000031,9593.549805,1474.050049,557.5599976
14-03-2024,458.2999878,8231,1070.849976,1563.699951,6397.450195,1476.75,525.25,427.7000122,1455.449951,1570.199951,152.75,1058.25,785.4500122,1661.900024,5203.149902,2612.75,1431.474976,3176.600098,1194.599976,1083.599976,258.9750061,266.3500061,3640.149902,973.2999878,24957.59961,1267.849976,1505.849976,1258.920044,1198.349976,1653.300049,4938.899902,995.2999878,3087.449951,3165.949951,1054.550049,1024.949951,4207.600098,781.5999756,419.6499939,142.4499969,2334.600098,622.25,259.2000122,399.75,4019.25,741.0499878,1227.400024,1127.30,143.6499939,1742.400024,537.8499756,29401,1679.25,11404.59961,582.4500122,321.8500061,3608.199951,2892.25,464.2999878,6023.149902,2861,572.7000122,2690.399902,120.6500015,195.25,1293.349976,958.5,1496.650024,85.05000305,338.3500061,967.75,529.6500244,263.25,140.25,3517.899902,176.1000061,5264.200195,898.75,1895.300049,260.1499939,3772.649902,109.4000015,170.3500061,2196.5,2149.800049,4675.299805,112.5,840.6500244,304.375,476.8500061,8383.549805,1890.550049,4081.100098,384.4500122,5625.399902,4751.399902,226.4499969,9696.950195,1516.949951,567.0800171
15-03-2024,453.3599854,8243.75,1067.849976,1571.449951,6514.350098,1484.349976,532.5499878,415.25,1452.650024,1548.199951,160.0500031,1046.400024,780.6500244,1651.349976,5241.200195,2603.649902,1418.224976,3203.100098,1220,1080.349976,258.5,265.9500122,3633.199951,989,25070.44922,1283,1500,1256.97998,1212.150024,1634,4974.200195,983.9000244,3132.199951,3099.100098,1045.849976,1003.950012,4219.25,767.75,419.1000061,141.6999969,2327.699951,632.3499756,254,381,3932.100098,731.9000244,1212.699951,1117.40,148,1738.300049,530.4000244,29571.55078,1647.300049,11476.65039,600.75,316.2999878,3537.149902,2867.550049,446.7000122,5983.200195,2868,567.75,2594.449951,117.75,188.8500061,1282.199951,925.1500244,1488.050049,82.94999695,344.75,945.8499756,526.5499878,258.75,136.9499969,3485.399902,173.8000031,5194.350098,912.5,1902.599976,265.1000061,3745.649902,109.8300018,161,2197.100098,2066.449951,4585.299805,111.3499985,823.7000122,293.2250061,497.8999939,8350.700195,1799.5,4063.899902,380.75,5616.549805,4771.299805,216.75,9632.950195,1482.300049,573.6799927
18-03-2024,461.7900085,8210.299805,1056.400024,1577.050049,6504.649902,1480.699951,531.1500244,421.8500061,1446.050049,1571.25,158.25,1061.349976,804.4000244,1656.349976,5196.350098,2580.350098,1439.474976,3249.199951,1225.300049,1081.199951,255.1000061,264.8999939,3579.699951,947.25,25343.19922,1266.599976,1489.699951,1268.209961,1186.949951,1602.650024,4980,991.25,3111.75,3121.949951,1008.849976,1081.349976,4152.5,808,417.4500122,149.6999969,2299.949951,634.0999756,254.5,374.8500061,4010.550049,730.9500122,1241.699951,1108.30,153.25,1737.900024,529.4000244,29814.30078,1643.400024,11636.2998,584.6500244,317.1499939,3561.199951,2846.5,436.25,6136.549805,2925.25,565.8499756,2569.649902,120,189.8999939,1272.650024,904.4000244,1488.449951,82.5,352.5499878,972.4500122,523.5999756,261.6000061,134.9499969,3506.600098,175.8999939,5167.450195,918.9000244,1869.900024,271.0499878,3699.699951,110.6100006,160.8000031,2203.100098,2031.449951,4554.200195,112.8499985,836.25,291.1499939,495.3999939,8521.799805,1856.050049,4071.050049,392.75,5766.75,4834.399902,224.3000031,9611.349609,1501.650024,574.5800171
19-03-2024,457.3999939,8204.599609,1046.75,1581.5,6596.25,1434.099976,533.6500244,419.0499878,1449.349976,1548.449951,157.9499969,1050.800049,801.0499878,1657,5095,2496.050049,1425.25,3233,1228.349976,1083.949951,247.4250031,259,3583.399902,944.6500244,25005.44922,1241.199951,1461.349976,1226.97998,1146.25,1561.449951,4816.950195,969.8499756,3052.699951,3058.899902,1006.299988,1081.400024,3977.300049,794.25,409.5499878,148.75,2266.949951,632.5,249.1000061,362.5499878,4014.100098,723.7999878,1204.349976,1087.45,149.1499939,1749.650024,518.2000122,29746.90039,1599.150024,11597.0498,580.2999878,313.4500122,3501.699951,2815.100098,429.0499878,6113.200195,2891.399902,549.5999756,2501.5,116.5500031,185.3999939,1252.25,879.5499878,1435.699951,82.44999695,353.2999878,957.75,518.3499756,259.25,135.1999969,3447.149902,172.9499969,5105.700195,906.4000244,1821.550049,266.6499939,3716.850098,109.6800003,155.25,2173.800049,2041.800049,4541.75,111.1500015,823.0499878,278.8500061,482.7999878,8640.200195,1843.900024,3955.649902,383.25,5628.600098,4639.850098,218.8000031,9453.25,1457.25,559.5
20-03-2024,462.8399963,8130.149902,1044.800049,1584.699951,6649.5,1441.550049,527.8499756,419.5,1431.050049,1549.349976,165.6000061,1034.75,794.6500244,1640.400024,5101.450195,2550.25,1443.75,3213.649902,1231.800049,1084.5,246.75,264.6499939,3590.5,936.0999756,24935.84961,1245.400024,1458.400024,1220.660034,1124.050049,1554.949951,4802.899902,971.4000244,3051.449951,2980.5,1011.450012,1102.150024,3970.899902,782.3499756,415.7000122,145.6499939,2241.949951,626.4000244,249.8500061,361.5,4056.350098,736.25,1215.199951,1101.60,144.6499939,1765.400024,514.8499756,29870.40039,1587.099976,11941.15039,576.3499756,313.6499939,3509.699951,2824.899902,423,6174.049805,2871.800049,560.3499756,2518.949951,116.6500015,187.4499969,1264.300049,866.9000244,1417.400024,82.84999847,337.5,940.4500122,520.2000122,263.8500061,133.1999969,3428.300049,174,5101.049805,901.9000244,1847.75,267.6499939,3873.600098,110.2099991,158.25,2167.5,2034.949951,4510.450195,112.0999985,825.9500122,283.3250122,489.1499939,8635.599609,1844.400024,3965.050049,379.8999939,5733.700195,4709.549805,224.75,9484.549805,1461.199951,560.0599976
21-03-2024,462.1600037,8202.650391,1074.199951,1602.599976,6715.75,1484.099976,539.7000122,432.0499878,1445.75,1565.199951,169.6499939,1035.599976,812.3499756,1673.050049,5302.549805,2553.649902,1450.974976,3290.149902,1220.800049,1081.800049,250.2250061,273.75,3627.550049,936.0499878,25361.40039,1262.449951,1468.050049,1225.640015,1133.949951,1554.699951,4806.700195,993.1500244,3066.5,3121.350098,1008.900024,1130.5,3972.949951,821.5499878,421.25,150.1000061,2242.350098,622.25,255.6999969,386.75,4163.100098,744.2999878,1231.650024,1109.90,146.8000031,1772.150024,524.25,30066.25,1595.800049,11908.15039,587.2000122,325,3560,2821.149902,450.25,6182.5,2901.399902,580.25,2554.399902,121.0500031,196.8500061,1282.75,901.7999878,1448.699951,84.09999847,338.7000122,964.9000244,523.9500122,262.9500122,135.25,3465.300049,175.0500031,5159.899902,934.75,1855.349976,273.3999939,3918.949951,112.7799988,164.5,2205.550049,2055.050049,4519.899902,115.25,857.7000122,293.8999939,504.5499878,8750.599609,1865.849976,4001.850098,392.1499939,5864.899902,4942.350098,237.1999969,9600.75,1485.050049,560.0999756
22-03-2024,466.1400146,8395.049805,1089.400024,1587.550049,6760.899902,1512.099976,547.75,431.9500122,1442.849976,1608.900024,174.1999969,1033.300049,824.7999878,1669.849976,5243.100098,2573.399902,1455.025024,3286.800049,1236.099976,1090.300049,243.5500031,275.75,3706.699951,938.8499756,25366.05078,1281.599976,1501.099976,1240.640015,1122.75,1508.849976,4865,999.75,3107.699951,3170.800049,1015.599976,1158.199951,3910.899902,832.9000244,428.6000061,151.8000031,2256.550049,623.8499756,259.7999878,391.6499939,4297.600098,746.7000122,1221.650024,1134.50,148.1000061,1776.400024,531.0499878,30178.69922,1557.849976,12337.7002,589.3499756,324.75,3617.800049,2841.5,460.1000061,6375.899902,2960.100098,581.8499756,2559.800049,122.75,197.5,1262.650024,906.3499756,1481.25,85.05000305,344.6499939,979.7999878,520.7999878,263.25,140.9499969,3431.449951,174.1000061,5005,928.7000122,1851.75,271.1000061,3988.399902,114.6299973,165.1499939,2223.550049,2050.800049,4684,116.3000031,865.9000244,296.3999939,515.4500122,8945.25,1878.800049,3948.600098,390.7000122,5967.399902,4991.549805,239.1000061,9681.75,1469.25,560.960022
26-03-2024,474.5100098,8413.200195,1115.199951,1593.900024,6910.100098,1518.699951,558.6500244,435.9500122,1425.400024,1598.099976,182.6000061,1040.550049,821.9000244,1648.25,5217,2586.100098,1441.574951,3492.050049,1213.099976,1083.699951,239.9250031,270.0499878,3698.199951,949.0999756,25684.15039,1304.199951,1486.400024,1226.969971,1112.550049,1492.650024,4961.450195,1017.049988,3109.949951,3300.800049,1045.900024,1158.5,3877.5,837.2000122,427.6499939,152.3999939,2240,626.9000244,261.5499878,394.9500122,4486.200195,740.0499878,1199.050049,1126.05,150,1753.699951,522,30680.34961,1562.25,12250.5498,595.0499878,329.1000061,3670.100098,2814.649902,461.3999939,6322.450195,3001.600098,599.9000244,2570.5,123.9499969,199.3999939,1254.349976,897.4500122,1472.25,85.69999695,346.1499939,986.2000122,521.0999756,265.5,145.6999969,3391,180.5,4975.200195,928.75,1859,268.5499878,3911.100098,114.3700027,167.4499969,2240.050049,2082.949951,4671.149902,117.25,873.4000244,299.9249878,513.2000122,8960.549805,1863.949951,3881.75,390.1000061,5929.799805,5098.649902,239.8000031,9600.700195,1487.550049,560.6799927
