Date,AXISBANK.NS,BRITANNIA.NS,HCLTECH.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,ITC.NS,KOTAKBANK.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,RELIANCE.NS,TATAMOTORS.NS,TATAPOWER.NS,TITAN.NS,WIPRO.NS
2020-01-06,720.1123657226562,2735.280517578125,490.2640380859375,1191.2852783203125,1980.24951171875,1776.2545166015625,508.1724548339844,657.3948364257812,189.30714416503906,1647.572265625,6761.931640625,1360.263427734375,89.99423217773438,669.44775390625,184.50381469726562,53.127479553222656,1131.80517578125,119.05403137207031
2020-01-07,722.6015625,2748.4501953125,492.1593933105469,1210.14892578125,1963.442138671875,1781.1234130859375,505.4658508300781,647.6520385742188,189.5084686279297,1665.817138671875,6791.89013671875,1348.38427734375,91.24309539794922,679.7469482421875,183.55967712402344,52.98705291748047,1133.1241455078125,120.49411010742188
2020-01-08,721.35693359375,2736.683837890625,493.42315673828125,1206.981201171875,1937.93798828125,1789.1444091796875,508.4141845703125,639.0214233398438,188.5824737548828,1649.865234375,6755.01953125,1357.8668212890625,90.78895568847656,674.6419677734375,181.42295837402344,52.659393310546875,1116.859130859375,120.30524444580078
2020-01-09,739.6273193359375,2716.31884765625,488.8321838378906,1220.516845703125,1968.8775634765625,1794.4305419921875,528.0855712890625,647.3406982421875,189.87083435058594,1660.0345458984375,6940.04443359375,1381.662841796875,90.33480834960938,690.1798706054688,190.8146209716797,54.11045455932617,1136.54296875,119.76226806640625
2020-01-10,736.8395385742188,2706.045654296875,488.8741455078125,1231.364501953125,1976.3193359375,1812.00341796875,522.2373657226562,656.7720336914062,191.6422882080078,1679.625244140625,7038.55810546875,1385.66357421875,91.05386352539062,690.0238037109375,195.13775634765625,55.187042236328125,1127.360595703125,118.86516571044922
2020-01-13,734.2010498046875,2756.1435546875,494.0548400878906,1234.532470703125,1979.0791015625,1849.884765625,520.6422729492188,688.269287109375,192.64881896972656,1686.0059814453125,7059.87451171875,1383.059326171875,92.15133666992188,688.2626953125,195.0383758544922,55.60832214355469,1132.147216796875,120.30524444580078
2020-01-14,744.655517578125,2810.494873046875,500.6253967285156,1237.8924560546875,2016.4154052734375,1862.821044921875,519.6756591796875,690.1378173828125,195.8697052001953,1671.7491455078125,7092.61669921875,1402.9066162109375,93.47589874267578,681.8870239257812,194.64083862304688,56.35725402832031,1140.10888671875,121.43841552734375
2020-01-15,743.0624389648438,2818.6865234375,501.8468933105469,1232.8524169921875,2070.6845703125,1874.7373046875,517.7423095703125,682.9308471679688,195.1852264404297,1670.5526123046875,7184.9375,1402.1138916015625,93.7408218383789,679.4124755859375,199.11306762695312,57.0125732421875,1157.4481201171875,117.2126235961914
2020-01-16,734.1013793945312,2851.3154296875,499.7408752441406,1236.1163330078125,2035.7314453125,1900.331298828125,519.2406005859375,682.4415283203125,193.8566436767578,1696.424560546875,7165.4453125,1448.7906494140625,91.9242935180664,685.6766967773438,196.33035278320312,57.10618591308594,1165.31201171875,118.2513656616211
2020-01-17,736.6902465820312,2827.963623046875,504.4161071777344,1226.9967041015625,2052.037109375,1910.57861328125,514.3107299804688,683.1976928710938,193.2124481201172,1692.9849853515625,7220.6552734375,1456.7681884765625,91.73506927490234,704.8930053710938,196.08189392089844,57.62107849121094,1161.258056640625,118.55825805664062
2020-01-20,724.0453491210938,2815.29248046875,496.37158203125,1204.6771240234375,2019.9273681640625,1912.9434814453125,517.017333984375,683.7316284179688,194.7826385498047,1613.0264892578125,7152.9150390625,1454.6734619140625,89.50225067138672,683.2022705078125,193.7960968017578,56.4040641784668,1160.37890625,117.09457397460938
2020-01-21,714.4868774414062,2816.0166015625,491.990966796875,1194.5494384765625,2005.7955322265625,1906.03466796875,513.343994140625,678.4375,192.004638671875,1620.204833984375,7011.81689453125,1441.79443359375,88.66966247558594,683.8933715820312,190.2183074951172,55.748741149902344,1148.998046875,116.66963958740234
2020-01-22,709.5086059570312,2811.581298828125,497.55078125,1191.189453125,2006.088134765625,1902.6033935546875,505.41741943359375,685.2886352539062,191.68255615234375,1580.72412109375,6851.4208984375,1467.076416015625,84.88520812988281,683.6480712890625,184.45413208007812,55.37427520751953,1150.414794921875,116.0794448852539
2020-01-23,719.8634643554688,2817.554931640625,504.5424499511719,1195.0294189453125,2031.759765625,1907.425537109375,510.105712890625,697.8786010742188,191.56175231933594,1601.0128173828125,6862.46240234375,1467.090576171875,85.9070053100586,680.7501220703125,187.23683166503906,56.31044006347656,1176.2529296875,117.42509460449219
2020-01-24,734.2010498046875,2889.556640625,513.62841796875,1194.741455078125,2064.28759765625,1923.0045166015625,516.0506591796875,696.4550170898438,191.76309204101562,1638.0010986328125,6844.5546875,1486.5888671875,86.85311889648438,678.3871459960938,185.3485565185547,57.29342269897461,1199.4537353515625,117.37770080566406
2020-01-27,737.0386352539062,2872.992919921875,510.7969055175781,1164.6458740234375,2053.50048828125,1911.5523681640625,519.3373413085938,692.3176879882812,188.90455627441406,1613.4749755859375,6864.0947265625,1478.1488037109375,85.64210510253906,671.6992797851562,181.07510375976562,56.825340270996094,1185.7286376953125,116.31105041503906
2020-01-28,733.9520874023438,2879.373779296875,508.3460693359375,1174.2457275390625,2064.454833984375,1910.85693359375,510.5891418457031,692.2286376953125,185.80445861816406,1621.15185546875,6718.38818359375,1454.617431640625,84.80951690673828,656.18359375,175.01278686523438,56.87214279174805,1167.363525390625,115.69477844238281
