Date,ABB.NS,ADANIENSOL.NS,ADANIENT.NS,ADANIGREEN.NS,ADANIPORTS.NS,ADANIPOWER.NS,AMBUJACEM.NS,APOLLOHOSP.NS,ASIANPAINT.NS,ATGL.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJAJHLDNG.NS,BAJFINANCE.NS,BANKBARODA.NS,BEL.NS,BHARTIARTL.NS,BHEL.NS,BOSCHLTD.NS,BPCL.NS,BRITANNIA.NS,CANBK.NS,CHOLAFIN.NS,CIPLA.NS,COALINDIA.NS,DABUR.NS,DIVISLAB.NS,DLF.NS,DMART.NS,DRREDDY.NS,EICHERMOT.NS,GAIL.NS,GODREJCP.NS,GRASIM.NS,HAL.NS,HAVELLS.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,ICICIGI.NS,ICICIPRULI.NS,INDIGO.NS,INDUSINDBK.NS,INFY.NS,IOC.NS,IRCTC.NS,IRFC.NS,ITC.NS,JINDALSTEL.NS,JIOFIN.NS,JSWENERGY.NS,JSWSTEEL.NS,KOTAKBANK.NS,LICI.NS,LODHA.NS,LT.NS,LTIM.NS,M&M.NS,MARUTI.NS,MOTHERSON.NS,NAUKRI.NS,NESTLEIND.NS,NHPC.NS,NTPC.NS,ONGC.NS,PFC.NS,PIDILITIND.NS,PNB.NS,POWERGRID.NS,RECLTD.NS,RELIANCE.NS,SBILIFE.NS,SBIN.NS,SHREECEM.NS,SHRIRAMFIN.NS,SIEMENS.NS,SUNPHARMA.NS,TATACONSUM.NS,TATAMOTORS.NS,TATAPOWER.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,TORNTPHARM.NS,TRENT.NS,TVSMOTOR.NS,ULTRACEMCO.NS,UNIONBANK.NS,UNITDSPR.NS,VBL.NS,VEDL.NS,WIPRO.NS,ZOMATO.NS,ZYDUSLIFE.NS
2023-02-13,3055.682373046875,,1715.2418212890625,688.0499877929688,547.65283203125,156.0,339.44122314453125,4320.18212890625,2736.2470703125,1191.875244140625,856.675048828125,3737.842529296875,1386.943603515625,5878.92822265625,6287.0888671875,156.0613555908203,92.6665267944336,760.8455200195312,71.20355987548828,16523.361328125,150.2552947998047,4452.70458984375,53.32364273071289,768.7671508789062,996.9563598632812,186.24778747558594,524.2523803710938,2712.2607421875,353.0794982910156,3495.199951171875,871.4883422851562,3181.885498046875,86.2080078125,901.80859375,1600.89453125,1189.461669921875,1170.0955810546875,1034.03369140625,1617.460693359375,511.0711364746094,2377.859130859375,422.50341796875,2506.947021484375,829.6448364257812,1126.4237060546875,436.50823974609375,2048.550048828125,1132.221435546875,1488.5556640625,70.39459228515625,623.9017333984375,29.10085678100586,349.03704833984375,581.869140625,,222.04641723632812,709.48046875,1770.4002685546875,595.340087890625,496.45831298828125,2147.048828125,4511.580078125,1315.4849853515625,8645.6611328125,78.66046142578125,3431.745849609375,1856.9683837890625,36.85136795043945,158.86856079101562,130.7779541015625,102.8597412109375,2280.7314453125,48.98162841796875,148.16043090820312,103.7323226928711,1061.223388671875,1174.228271484375,518.5580444335938,23964.66015625,,3115.69921875,996.7506713867188,705.2206420898438,438.3269958496094,200.7914276123047,103.23286437988281,3329.074951171875,940.449951171875,2494.21044921875,1481.159423828125,1303.6375732421875,1064.9395751953125,7104.4560546875,67.38978576660156,,253.6938018798828,234.30921936035156,195.56149291992188,51.79999923706055,461.443603515625
2023-02-14,3053.350830078125,,1747.246826171875,653.6500244140625,558.9282836914062,148.1999969482422,333.5434875488281,4231.17578125,2722.765869140625,1132.31396484375,868.292236328125,3730.72021484375,1396.98193359375,5877.46630859375,6399.2470703125,159.46221923828125,92.61756896972656,767.3790283203125,70.65621185302734,16527.4453125,148.57284545898438,4464.20556640625,54.43806838989258,773.7015991210938,1003.1997680664062,185.111328125,519.8872680664062,2730.30517578125,349.1827087402344,3482.699951171875,874.1270141601562,3106.609619140625,85.89288330078125,908.3487548828125,1583.5267333984375,1199.37841796875,1188.1868896484375,1045.6002197265625,1632.43212890625,508.637451171875,2360.17529296875,429.51715087890625,2505.587890625,843.93310546875,1124.9456787109375,435.4104919433594,2036.800048828125,1131.7322998046875,1513.0570068359375,70.08468627929688,625.8023071289062,28.323537826538086,360.4632568359375,586.594482421875,,220.019287109375,715.2112426757812,1766.956787109375,586.8519897460938,485.9908142089844,2135.6962890625,4526.85986328125,1325.353515625,8611.3115234375,79.10542297363281,3485.344482421875,1862.4437255859375,36.897369384765625,157.16485595703125,131.04278564453125,104.49705505371094,2274.935546875,49.56706619262695,147.47450256347656,103.27754211425781,1086.231201171875,1156.900146484375,521.7899780273438,24400.8828125,,3111.26904296875,988.405517578125,708.3645629882812,437.830078125,200.29832458496094,103.70750427246094,3345.995361328125,949.4088745117188,2482.18017578125,1479.3017578125,1317.7569580078125,1074.1033935546875,7064.8232421875,67.67254638671875,,249.19900512695312,238.44525146484375,197.75827026367188,50.349998474121094,463.0096130371094
2023-02-15,3125.088623046875,,1776.6055908203125,621.0,562.8351440429688,140.8000030517578,341.8200988769531,4448.29150390625,2731.73681640625,1075.7008056640625,865.84912109375,3758.9208984375,1419.1563720703125,5859.189453125,6430.20947265625,160.1707305908203,92.6665267944336,777.4761352539062,71.402587890625,16947.78515625,148.57284545898438,4453.1416015625,55.421382904052734,780.1810302734375,1005.5899047851562,186.11663818359375,524.6447143554688,2760.5263671875,356.13775634765625,3545.60009765625,870.55419921875,3239.11279296875,85.80284118652344,913.1806640625,1604.6937255859375,1206.7916259765625,1204.25146484375,1052.521728515625,1629.1160888671875,515.6404418945312,2387.5595703125,428.6774597167969,2475.3310546875,849.2972412109375,1118.5899658203125,437.8554992675781,1986.050048828125,1124.6396484375,1516.6658935546875,70.39459228515625,630.8707275390625,28.955108642578125,362.1213684082031,584.5550537109375,,225.11184692382812,718.471923828125,1782.0777587890625,589.746826171875,485.0935974121094,2119.520263671875,4630.5458984375,1341.104248046875,8680.892578125,79.20429992675781,3542.955322265625,1879.82080078125,37.495460510253906,156.92823791503906,130.2041778564453,107.95360565185547,2289.9951171875,49.664642333984375,147.13153076171875,105.36946105957031,1110.827880859375,1175.4730224609375,523.1406860351562,24654.201171875,,3215.261474609375,977.2623291015625,715.3401489257812,441.4078674316406,202.4186553955078,104.70423889160156,3365.640380859375,1005.08544921875,2499.40869140625,1478.666259765625,1344.5491943359375,1102.1424560546875,7077.34130859375,68.04954528808594,,252.6763153076172,237.53451538085938,198.8810577392578,50.25,459.3392333984375
2023-02-16,3163.586181640625,,1794.0810546875,616.2999877929688,570.8961791992188,147.8000030517578,344.7441711425781,4602.1708984375,2751.150390625,1021.9357299804688,862.3092041015625,3760.076171875,1426.547607421875,5845.7861328125,6378.04345703125,160.6903076171875,95.70156860351562,776.5357055664062,72.5967788696289,17213.556640625,146.12767028808594,4437.17626953125,55.243446350097656,779.7822875976562,1010.1748657226562,188.34585571289062,525.3804321289062,2813.388427734375,366.6936340332031,3541.699951171875,870.4482421875,3217.542724609375,86.38806915283203,910.1547241210938,1608.1474609375,1295.6766357421875,1213.346435546875,1048.108642578125,1623.2152099609375,511.17047119140625,2373.35693359375,429.4183654785156,2454.59375,847.9805908203125,1102.0357666015625,427.6263732910156,1897.25,1123.416748046875,1521.1768798828125,70.66024017333984,632.8201293945312,28.129207611083984,362.45294189453125,598.5323486328125,,221.5025634765625,719.2623901367188,1784.523193359375,591.5130004882812,466.27703857421875,2122.687255859375,4830.83740234375,1330.2149658203125,8641.390625,79.25374603271484,3555.73583984375,1915.72705078125,37.67948532104492,158.44259643554688,137.6191864013672,109.33621978759766,2295.394775390625,49.56706619262695,147.20013427734375,105.9151840209961,1109.9599609375,1169.2489013671875,521.0664672851562,24924.15625,,3208.591064453125,977.0169677734375,719.76123046875,438.87359619140625,202.32003784179688,106.31798553466797,3401.393798828125,1060.29296875,2497.527587890625,1476.4661865234375,1360.16552734375,1119.4739990234375,7097.03369140625,68.09667205810547,,251.82672119140625,238.93850708007812,200.10150146484375,51.400001525878906,467.1694030761719
2023-02-17,3111.74267578125,,1720.28466796875,628.6500244140625,572.330322265625,155.14999389648438,350.19586181640625,4573.97314453125,2778.2607421875,970.868896484375,852.4869384765625,3748.237548828125,1412.4140625,5861.86962890625,6357.6337890625,157.57284545898438,94.42880249023438,768.9628295898438,72.0494384765625,17098.990234375,148.81961059570312,4399.5693359375,54.99995803833008,776.8914184570312,1000.6633911132812,190.13795471191406,524.3014526367188,2767.616943359375,359.6399230957031,3545.0,868.7244262695312,3213.53173828125,86.4330825805664,919.6232299804688,1621.27197265625,1282.940673828125,1213.0499267578125,1030.8284912109375,1615.0711669921875,500.88946533203125,2415.124267578125,424.2815246582031,2443.32666015625,841.3485717773438,1101.050537109375,416.6986999511719,1882.199951171875,1090.4974365234375,1504.0828857421875,71.32433319091797,633.4537353515625,27.934879302978516,363.25830078125,587.0421752929688,,223.4802703857422,719.7069702148438,1755.878173828125,591.3659057617188,448.8062744140625,2169.510498046875,4743.26123046875,1304.3038330078125,8643.9921875,78.80877685546875,3482.421630859375,1856.4317626953125,38.10820388793945,159.05784606933594,138.23712158203125,108.06275939941406,2311.594482421875,48.4937629699707,146.65139770507812,105.14208221435547,1114.59619140625,1144.9498291015625,512.2871704101562,25559.029296875,,3180.96240234375,966.56103515625,713.5225219726562,437.1841125488281,201.87625122070312,106.5552978515625,3346.9990234375,1059.3077392578125,2475.6455078125,1456.6175537109375,1357.720947265625,1099.5029296875,7221.8203125,66.82427215576172,,253.52586364746094,238.29347229003906,198.3440704345703,51.79999923706055,460.6605529785156
2023-02-20,3149.44677734375,,1619.1767578125,597.25,573.3688354492188,162.89999389648438,349.3533630371094,4569.9091796875,2770.36767578125,922.3505249023438,844.35986328125,3757.381103515625,1402.9749755859375,5898.5703125,6308.787109375,155.16392517089844,92.91129302978516,771.2891845703125,71.30307006835938,17259.2109375,146.3295440673828,4322.4619140625,54.129024505615234,767.6705322265625,940.4235229492188,190.83734130859375,524.7918090820312,2836.861083984375,359.68927001953125,3552.85009765625,861.8772583007812,3218.912109375,86.16297912597656,905.5667724609375,1610.466552734375,1257.6385498046875,1201.829345703125,1036.5419921875,1599.904541015625,504.5648193359375,2407.408935546875,428.97381591796875,2439.392822265625,831.0589599609375,1097.453857421875,419.6427001953125,1881.75,1085.214599609375,1512.29736328125,70.43887329101562,625.6073608398438,27.691967010498047,363.8741149902344,591.7675170898438,,219.72262573242188,714.7172241210938,1733.97021484375,587.2935791015625,438.9119873046875,2168.681884765625,4771.1357421875,1308.922119140625,8532.013671875,81.03361511230469,3477.666015625,1837.0830078125,37.15549850463867,158.9158477783203,136.69232177734375,107.15312957763672,2298.66455078125,48.29861831665039,148.02325439453125,103.27754211425781,1102.811767578125,1153.6138916015625,506.6433410644531,26308.7109375,,3182.95361328125,966.4628295898438,709.1505126953125,440.2649841308594,200.98866271972656,106.65023040771484,3333.75927734375,1073.37939453125,2449.753173828125,1448.893310546875,1340.95703125,1126.2471923828125,7349.47607421875,66.35301971435547,,258.3268737792969,235.9029083251953,198.71018981933594,54.599998474121094,454.5921630859375
2023-02-21,3144.734130859375,,1568.8973388671875,567.4000244140625,576.8306274414062,171.0,349.74981689453125,4462.31689453125,2762.082763671875,876.23046875,841.6676025390625,3693.182861328125,1392.6868896484375,5926.0595703125,6320.52783203125,151.05455017089844,93.54766082763672,771.1901245117188,70.40743255615234,17537.275390625,145.0284423828125,4370.55078125,52.24668502807617,770.9601440429688,942.3258666992188,187.12197875976562,524.9390869140625,2854.465576171875,352.68487548828125,3525.60009765625,864.0633544921875,3202.917724609375,85.80284118652344,914.8401489257812,1611.601318359375,1274.7010498046875,1202.8179931640625,1026.7869873046875,1605.90283203125,497.71075439453125,2400.836669921875,426.2572326660156,2443.9580078125,833.1072387695312,1084.0528564453125,417.5968933105469,1853.1500244140625,1077.82861328125,1499.999267578125,70.12895202636719,626.2896118164062,27.44905662536621,362.168701171875,586.2462768554688,,221.05758666992188,711.5060424804688,1726.8837890625,585.9688720703125,435.6471252441406,2172.53125,4763.37353515625,1314.3668212890625,8508.6552734375,81.23138427734375,3541.51904296875,1839.5863037109375,37.250770568847656,163.97959899902344,136.03025817871094,108.86322784423828,2310.355712890625,47.85953903198242,148.98353576660156,103.64134979248047,1111.81005859375,1145.5970458984375,505.00323486328125,26326.572265625,,3279.778076171875,953.89599609375,713.473388671875,433.80511474609375,205.0814208984375,107.4096450805664,3299.05712890625,1064.2330322265625,2439.307373046875,1451.92431640625,1335.2193603515625,1121.3665771484375,7264.0751953125,65.55188751220703,,261.6856384277344,233.77801513671875,196.61106872558594,55.349998474121094,458.50726318359375
2023-02-22,3148.107666015625,,1402.88037109375,539.0499877929688,541.1248168945312,162.4499969482422,332.453125,4409.833984375,2741.345458984375,832.4588623046875,830.9976806640625,3696.647705078125,1359.37548828125,5883.3154296875,6141.59033203125,148.40943908691406,93.00918579101562,764.3597412109375,68.46687316894531,17571.48046875,143.772216796875,4352.2568359375,51.347660064697266,762.9854736328125,939.009033203125,185.19876098632812,523.0262451171875,2856.372802734375,343.90478515625,3500.14990234375,862.2432250976562,3178.999755859375,86.02793884277344,907.7142944335938,1553.3798828125,1244.22216796875,1187.939697265625,1015.0809936523438,1574.399169921875,491.1547546386719,2380.73876953125,424.4791259765625,2422.4921875,818.5263061523438,1082.377685546875,410.1121826171875,1834.8499755859375,1069.0240478515625,1483.1900634765625,68.44657135009766,606.9340209960938,27.108978271484375,363.6846923828125,570.2794799804688,,217.29994201660156,691.5964965820312,1697.290771484375,584.7913208007812,423.18585205078125,2138.717041015625,4691.51611328125,1283.1568603515625,8497.9580078125,81.13249969482422,3470.58251953125,1822.5506591796875,36.91732406616211,161.3767547607422,135.58888244628906,106.49822235107422,2273.498779296875,46.63987731933594,147.23443603515625,101.91323852539062,1086.5965576171875,1126.4764404296875,498.15338134765625,26013.005859375,,3237.264892578125,950.901611328125,708.8067016601562,426.7986145019531,199.5093536376953,105.5111083984375,3251.78466796875,1056.0244140625,2407.5732421875,1448.0133056640625,1340.95703125,1109.911865234375,7130.6796875,63.7139778137207,,258.1787109375,230.1353302001953,192.90097045898438,52.95000076293945,454.3963623046875
2023-02-23,3113.92578125,,1380.71142578125,512.0999755859375,545.822998046875,154.35000610351562,333.93994140625,4408.79296875,2653.103515625,790.8359375,841.9667358398438,3688.177734375,1345.3917236328125,5868.44970703125,6145.25634765625,146.89794921875,93.40081024169922,755.2526245117188,68.61614227294922,17572.201171875,143.8170623779297,4320.22998046875,51.282100677490234,749.1293334960938,936.8140258789062,187.86505126953125,529.4512939453125,2810.063232421875,338.2815246582031,3478.75,857.0235595703125,3171.418212890625,88.27880096435547,912.0581665039062,1559.4979248046875,1235.1802978515625,1186.3580322265625,1016.7067260742188,1563.71923828125,483.60540771484375,2376.9765625,431.1471252441406,2419.189208984375,819.0139770507812,1078.0914306640625,401.6794128417969,1865.0,1052.246337890625,1472.6488037109375,68.35801696777344,590.2734985351562,26.96323013305664,367.2377014160156,577.64111328125,,211.96014404296875,692.9303588867188,1703.8780517578125,579.8358764648438,401.6776428222656,2104.02587890625,4738.6728515625,1277.517578125,8534.564453125,81.42913818359375,3471.375244140625,1819.9986572265625,36.869686126708984,160.52493286132812,136.51577758789062,107.37145233154297,2247.242919921875,47.07895278930664,146.2741241455078,102.59539031982422,1081.389404296875,1130.7088623046875,502.6395568847656,25437.224609375,,3242.740966796875,954.7796020507812,703.5503540039062,430.5254821777344,198.52316284179688,106.3654556274414,3263.494873046875,1058.9326171875,2370.888427734375,1448.502197265625,1325.3406982421875,1112.9000244140625,7102.1796875,64.09098815917969,,256.9833984375,229.86965942382812,192.31517028808594,54.95000076293945,457.9200134277344
2023-02-24,3117.54736328125,,1313.805419921875,486.5,552.7960205078125,146.64999389648438,342.21661376953125,4437.17919921875,2685.017578125,751.3116455078125,848.9968872070312,3705.55078125,1357.4278564453125,5949.4052734375,6178.8447265625,146.04774475097656,93.35185241699219,749.4616088867188,68.06880950927734,17090.1171875,142.47108459472656,4311.54345703125,50.776397705078125,760.4434814453125,938.2774047851562,189.7445831298828,524.69384765625,2851.14013671875,341.38909912109375,3499.199951171875,865.0167236328125,3135.859375,93.14065551757812,905.664306640625,1554.4158935546875,1231.680419921875,1167.426513671875,1017.1713256835938,1549.7718505859375,479.6320495605469,2367.59423828125,410.20465087890625,2412.924560546875,818.9652709960938,1073.16455078125,398.8851318359375,1853.25,1055.71923828125,1472.601318359375,68.49083709716797,595.7125854492188,27.06039810180664,364.8690185546875,557.3966064453125,,209.38912963867188,676.824951171875,1694.0469970703125,573.65380859375,358.6861267089844,2079.566650390625,4738.62353515625,1244.70361328125,8499.4794921875,81.52803039550781,3522.74462890625,1823.2093505859375,36.774417877197266,161.84999084472656,140.4576416015625,107.85594940185547,2254.723388671875,46.39594268798828,147.50880432128906,102.77729797363281,1088.7890625,1117.4140625,502.687744140625,25217.083984375,,3232.28662109375,952.8160400390625,703.599609375,425.109130859375,199.5093536376953,104.18212890625,3250.732666015625,1049.7391357421875,2375.443603515625,1447.5244140625,1302.739501953125,1100.947265625,7141.515625,63.0070915222168,,255.1755828857422,223.45703125,191.9978485107422,54.45000076293945,456.5497131347656
