Date,ABB.NS,ADANIENSOL.NS,ADANIENT.NS,ADANIGREEN.NS,ADANIPORTS.NS,ADANIPOWER.NS,AMBUJACEM.NS,APOLLOHOSP.NS,ASIANPAINT.NS,ATGL.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJAJHLDNG.NS,BAJFINANCE.NS,BANKBARODA.NS,BEL.NS,BHARTIARTL.NS,BHEL.NS,BOSCHLTD.NS,BPCL.NS,BRITANNIA.NS,CANBK.NS,CHOLAFIN.NS,CIPLA.NS,COALINDIA.NS,DABUR.NS,DIVISLAB.NS,DLF.NS,DMART.NS,DRREDDY.NS,EICHERMOT.NS,GAIL.NS,GODREJCP.NS,GRASIM.NS,HAL.NS,HAVELLS.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,ICICIGI.NS,ICICIPRULI.NS,INDIGO.NS,INDUSINDBK.NS,INFY.NS,IOC.NS,IRCTC.NS,IRFC.NS,ITC.NS,JINDALSTEL.NS,JIOFIN.NS,JSWENERGY.NS,JSWSTEEL.NS,KOTAKBANK.NS,LICI.NS,LODHA.NS,LT.NS,LTIM.NS,M&M.NS,MARUTI.NS,MOTHERSON.NS,NAUKRI.NS,NESTLEIND.NS,NHPC.NS,NTPC.NS,ONGC.NS,PFC.NS,PIDILITIND.NS,PNB.NS,POWERGRID.NS,RECLTD.NS,RELIANCE.NS,SBILIFE.NS,SBIN.NS,SHREECEM.NS,SIEMENS.NS,SUNPHARMA.NS,TATACONSUM.NS,TATAMOTORS.NS,TATAPOWER.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,TORNTPHARM.NS,TRENT.NS,TVSMOTOR.NS,ULTRACEMCO.NS,UNIONBANK.NS,VBL.NS,VEDL.NS,WIPRO.NS,ZOMATO.NS,ZYDUSLIFE.NS
12-03-2024,5689.907227,1037.25,3121.241211,1897.099976,1295.740723,556.0999756,585.7815552,6126.704102,2843.714111,964.8448486,1096.154053,8458.952148,1592.545288,8521.396484,6403.901367,264.2240601,202.9739075,1197.576172,243.8951263,29330.45508,297.1474609,4806.586914,110.3855438,1064.932251,1453.426392,422.8039246,524.0339355,3555.925049,859.4880981,4031.699951,1223.329956,3768.989746,173.3457184,1189.281128,2175.639404,3235.142578,1493.357788,1585.900757,1439.887695,619.4434204,4511.743164,525.9350586,2345.863037,1067.658691,1650.321899,599.87854,3242.949951,1516.217285,1572.446777,165.961792,908.6928711,135.4804382,391.2261353,805.4642334,361.8500061,507.6274109,811.4436035,1718.466553,980.9172363,1119.085693,3593.402588,5145.84668,1881.374512,11402.20215,115.4864349,5137.359375,2562.554199,84.57813263,337.3255615,256.7808228,418.12677,2841.514404,124.4796524,275.5740356,462.7401733,1465.443726,1513.68103,747.1702271,24866.64063,4772.597168,1569.831177,1206.879272,1013.372803,394.2740173,149.4881592,4077.255615,1257.498535,3736.573486,2647.678223,4005.851563,2233.768555,9558.813477,146.5270386,567.3453369,245.7874146,250.4483795,156.8999939,985.2426758
13-03-2024,5569.750488,947.9500122,2905.028564,1725,1204.38269,528.2999878,557.5667725,5990.705566,2827.894531,872.7692261,1079.566895,8317.303711,1572.158203,8298.152344,6423.901367,253.814621,189.1110535,1162.272827,225.1109009,28163.42773,283.9873352,4794.247559,104.4563904,1046.808228,1458.880127,392.45578,515.0689087,3458.572754,825.4327393,3967.800049,1223.650146,3694.61377,162.5537567,1173.291382,2140.873047,3009.354248,1465.568604,1581.925293,1440.726318,607.9823608,4369.580078,504.1101685,2281.202881,1074.69812,1632.587769,572.9564209,3112.550049,1486.151123,1570.935791,156.7950287,868.9292603,123.0964813,408.6376038,762.6039429,328.2000122,459.5358582,786.7867432,1727.656494,904.8308716,1010.825623,3510.950928,5131.818848,1840.225708,11283.57324,109.7121124,5090.612305,2555.430664,76.28137207,315.554718,242.4888611,387.4774475,2808.979248,117.4131241,255.4242096,429.2429199,1422.486328,1484.683105,734.9255371,24268.8418,4640.52002,1544.365723,1170.877441,970.2060547,370.2353516,140.8129272,4035.19165,1242.805176,3613.875,2637.776367,3941.345947,2137.797852,9536.993164,137.9049377,555.9190063,229.0560455,247.2862091,148.6499939,966.2400513
14-03-2024,5597.762207,1054.550049,3086.205322,1895.300049,1262.433472,537.8499756,580.6969604,6005.412598,2859.632568,973.0427246,1057.43396,8315.963867,1562.713989,8161.320313,6365.494629,252.1608124,194.0301361,1187.979614,226.2599182,29258.80469,289.2133789,4875.440918,106.5106659,1069.32605,1484.06665,402.4777527,524.6779175,3496.440186,835.8730469,4019.25,1221.86438,3731.307129,169.6841736,1204.0448,2188.091553,3134.550293,1508.22168,1628.224487,1435.842896,620.1410522,4527.625,522.2561646,2302.904541,1074.351074,1651.116943,572.1072998,3176.600098,1460.5354,1611.783691,163.5141296,886.7883911,138.9479523,405.9291077,779.9675903,338.3500061,475.2839966,779.3450317,1740.492432,953.3173218,1023.153992,3580.057617,5200.177734,1876.807983,11297.88672,112.0019302,5186.25,2584.913574,83.01639557,314.9187622,249.9909973,389.5726929,2846.588867,119.2415314,257.4053955,444.3645325,1421.791016,1503.149902,728.8278198,24863.84961,4741.61084,1555.859741,1190.144653,964.7727661,382.6777344,139.6366425,4092.184082,1258.520264,3628.277832,2663.966309,4078.302002,2141.333984,9639.783203,139.9508514,565.4110107,236.5578918,253.9292145,152.75,992.8237305
15-03-2024,5588.955566,1045.849976,3130.937256,1902.599976,1277.518799,530.4000244,598.9418945,5965.580078,2835.211182,988.7385864,1045.593018,8283.378906,1570.459106,8173.962891,6481.810547,247.1020203,187.6701202,1213.238892,216.5680695,29428.5293,278.6188049,4910.287598,106.929306,1066.330444,1475.53894,390.7619324,521.6069336,3464.138428,819.0193481,3932.100098,1219.981445,3704.603027,167.4679565,1189.624512,2188.689453,3068.363281,1473.771118,1597.245361,1433.080688,630.2067871,4440.467285,529.5145264,2296.098145,1071.128784,1640.635254,567.1624146,3203.100098,1468.052002,1592.968262,154.5393219,900.3552856,135.6785736,405.3970947,766.1465454,344.75,496.2648315,774.5823975,1736.396973,920.147644,1002.190857,3509.561768,5131.177246,1786.419678,11369.26367,110.8570251,5224.176758,2575.910156,80.96659851,309.4882202,245.7176056,371.3000793,2853.553467,116.3753815,257.0187988,427.5202637,1408.630615,1500,719.8287354,24976.27539,4761.469727,1534.060791,1203.85022,942.9401245,378.9947815,138.9014435,4103.514648,1247.67041,3621.350342,2568.959229,4061.113525,2058.312012,9576.161133,144.1888428,571.9916382,241.0589752,253.4634705,160.0500031,981.4521484
18-03-2024,5738.417969,1008.849976,3110.495605,1869.900024,1261.188843,529.4000244,582.8903198,6118.478516,2814.398438,946.9995728,1060.531494,8453.098633,1576.055664,8140.795898,6472.158691,247.5884399,188.7135468,1218.509521,224.1117401,29670.10547,276.6471558,4916.012695,107.6887054,1054.896729,1475.935547,396.9727173,518.6846313,3485.209229,831.4980469,4010.550049,1230.880859,3659.156494,169.4914398,1218.072632,2194.666504,3090.986572,1493.009766,1593.463745,1426.56958,631.9508667,4410.350098,528.1225586,2268.724609,1071.971558,1645.602783,565.2643433,3249.199951,1464.442017,1562.405518,154.3473511,906.670166,133.6971436,403.8010559,806.312439,352.5499878,493.7730408,798.1477661,1735.997314,899.5098267,1079.4552,3533.424072,5104.604492,1842.558716,11527.41895,112.3503799,5179.472168,2552.858643,80.52736664,310.3199463,248.4241028,365.3066406,2910.515137,118.5991135,256.0040894,417.5189209,1429.736938,1489.699951,718.8944092,25248,4824.439941,1556.900146,1178.822632,969.458313,390.9394836,146.743454,4038.595703,1238.377808,3568.024902,2544.402832,4068.258789,2023.449951,9554.6875,149.3036499,572.8889771,246.4693756,250.129715,158.25,988.7838135
19-03-2024,5600.946289,1006.299988,3051.469482,1821.550049,1235.897339,518.2000122,578.5534058,6095.197266,2783.352783,944.4003296,1049.989746,8570.544922,1580.502808,8135.144043,6563.30127,242.3350983,184.2416687,1221.542603,218.6163483,29603.03125,264.9598694,4755.058105,106.7832718,1045.260376,1423.629028,394.3378296,513.4838867,3426.121582,818.3730469,4014.100098,1190.86438,3676.118896,166.6489258,1181.43335,2165.478516,3028.561768,1448.865234,1550.558472,1429.825073,630.3563232,4398.293457,530.6082764,2236.172607,1074.69812,1646.248657,549.031189,3233,1418.35376,1522.23999,149.0200653,894.3365479,133.9448242,396.1593323,792.5911865,353.2999878,481.2144165,794.8237915,1747.734497,874.7941895,1079.505127,3474.388184,5043.605469,1830.496948,11488.53613,110.6579132,5078.451172,2469.456787,80.4785614,306.6996155,246.1924438,353.3197632,2876.835449,115.1893921,250.3022003,410.6280212,1415.608154,1461.349976,711.8623047,24911.51758,4630.291016,1534.30835,1138.401367,954.8035278,381.4832764,145.8122101,3868.20166,1218.526978,3571.712891,2476.922363,3952.937744,2041.800049,9397.520508,145.3092194,557.8533325,242.4684143,242.604248,157.9499969,967.4370117
20-03-2024,5705.530273,1011.450012,3050.219971,1847.75,1240.079468,514.8499756,574.6152954,6155.867676,2793.041992,935.8525391,1033.952026,8565.981445,1583.700806,8061.324219,6616.285645,243.0647278,186.2788544,1224.973511,224.5613556,29725.93359,269.2119446,4741.187988,107.2992706,1043.313232,1405.48291,394.7612915,515.3165894,3407.386719,821.2565918,4056.350098,1184.730469,3831.151123,167.660675,1192.076782,2159.202637,2950.939697,1452.79248,1538.874512,1411.771729,624.2769775,4367.981934,524.8413086,2211.511963,1075.243408,1629.756348,559.7700806,3213.649902,1425.722046,1515.903198,151.8996735,889.8964233,131.9633942,402.1083069,780.7160034,337.5,487.5435791,788.4735718,1763.467285,862.2125854,1100.21875,3482.325928,5039.011719,1830.993408,11829.41699,111.6037064,5084.880371,2523.079346,80.86898804,306.8953247,250.5607605,352.2965088,2857.334473,115.2882233,255.7624664,404.8377991,1433.983032,1458.400024,724.1069946,24842.18164,4699.847168,1535.200195,1116.353394,937.5567627,378.1487122,142.7734375,3861.976807,1230.252563,3578.789795,2494.200928,3962.331543,2034.949951,9428.635742,140.9251099,558.4116821,243.3777466,241.9423981,165.6000061,968.9832153
21-03-2024,5836.085449,1008.900024,3065.263916,1855.349976,1257.056519,524.25,585.4326782,6164.292969,2789.334229,935.8025513,1034.801392,8680.054688,1601.5896,8133.211426,6682.20459,248.7558441,195.6201477,1214.034424,237.0009003,29920.83594,279.2601624,4744.939453,109.8013916,1072.671265,1436.519653,406.5711975,519.0313721,3444.161133,852.8261719,4163.100098,1189.563965,3876.003906,168.6724243,1208.213989,2197.106934,3090.392578,1476.505371,1547.310181,1426.27356,620.1410522,4377.133789,536.6237793,2211.906982,1072.566528,1662.194458,579.6494751,3290.149902,1467.804688,1515.659546,157.89888,922.3092041,133.9943542,407.4768372,819.8341675,338.7000122,502.8930054,806.0359497,1770.209839,896.9238892,1128.519043,3532.233643,5097.145996,1852.287354,11796.72656,114.7397614,5285.327148,2526.442871,82.0891037,318.000885,249.7061157,376.9036865,2886.785156,119.6368561,264.5568542,430.9177856,1441.159058,1468.050049,732.0241699,25266.13281,4932.16748,1550.905396,1126.185547,961.9315796,390.3422241,147.1355591,3863.970459,1248.205688,3615.718994,2529.302734,3999.106201,2055.050049,9544.150391,143.0197449,558.4515381,248.6062927,245.3497009,169.6499939,990.6791382
22-03-2024,5938.081543,1015.599976,3106.447266,1851.75,1276.124756,531.0499878,587.5761719,6357.123047,2809.454834,938.6018066,1032.503174,8873.135742,1586.549072,8323.982422,6727.128906,252.7444916,196.9664917,1229.249634,238.8993225,30032.74219,281.6356506,4802.490234,111.6025314,1087.849609,1468.796021,406.4771423,515.9109497,3410.517578,860.9795532,4297.600098,1204.122437,3944.692871,167.7570343,1198.404419,2215.038086,3139.352051,1460.796265,1510.513306,1423.412598,621.7355957,4536.050293,544.6278687,2225.913818,1080.994019,1659.015259,581.2478027,3286.800049,1495.497314,1470.960938,158.5227814,916.3397217,139.641449,414.5865173,831.1604614,344.6499939,513.7572021,818.3891602,1774.4552,901.4492798,1156.170532,3589.582764,4944.129883,1865.143311,12222.25684,115.7851105,5226.070801,2545.982422,83.01639557,317.7562866,249.9909973,384.6627502,2945.189697,121.317009,266.4897156,440.3448486,1445.181763,1501.099976,734.3846436,25270.76563,4981.266113,1594.206421,1115.062256,976.7857056,388.8989258,148.8019867,3803.622559,1228.647095,3694.61084,2534.649658,3945.892822,2050.800049,9624.672852,144.2862701,559.309021,246.5148773,238.8047485,174.1999969,997.2626343
26-03-2024,5900.666504,1045.900024,3108.696289,1859,1298.628174,522,593.2590332,6303.831055,2782.907715,948.8490601,1039.747559,8888.311523,1592.89502,8341.978516,6875.583984,254.4469604,198.8613434,1206.377075,239.5987244,30531.9668,284.9850464,4897.701172,111.3494034,1113.612915,1459.871704,410.2412415,516.2080688,3370.314209,868.4369507,4486.200195,1190.854736,3868.23999,173.9238586,1176.234253,2231.474854,3268.062988,1478.990967,1514.779785,1406.197754,624.7753296,4523.605957,555.4658203,2209.588623,1074.450195,1637.555298,599.2791748,3492.050049,1502.02478,1455.167725,160.7304993,916.3890381,144.3473511,413.667572,835.4514771,346.1499939,511.5146179,815.5117798,1751.780029,892.5974121,1156.469971,3641.474854,4914.692383,1850.401245,12135.92188,116.7309036,5200.055176,2558.547363,83.65084076,322.0126038,252.1276398,387.9038696,2986.480713,122.5029984,260.9811096,441.5890503,1431.822632,1486.400024,727.8442993,25587.67188,5088.145508,1583.505005,1104.932251,983.1660156,388.3016968,149.3901215,3771.138916,1220.570435,3686.138428,2545.244385,3879.088623,2082.949951,9544.100586,146.1373444,559.0298462,244.1961365,235.2503815,182.6000061,1014.519592
