Date,AXISBANK.NS,BRITANNIA.NS,HCLTECH.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,ITC.NS,KOTAKBANK.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,RELIANCE.NS,TATAMOTORS.NS,TATAPOWER.NS,TCS.NS,TITAN.NS,WIPRO.NS
2020-01-06,720.1124267578125,2735.28076171875,490.26416015625,1191.285400390625,1980.24951171875,1776.2545166015625,508.1724853515625,657.394775390625,189.30714416503906,1647.572265625,6761.931640625,1360.2633056640625,89.99422454833984,669.4476928710938,184.50381469726562,53.12747573852539,,1131.8052978515625,119.05403900146484
2020-01-07,722.6015625,2748.449951171875,492.15948486328125,1210.1490478515625,1963.442138671875,1781.1231689453125,505.4657897949219,647.652099609375,189.50845336914062,1665.817138671875,6791.8896484375,1348.384033203125,91.24309539794922,679.7468872070312,183.55967712402344,52.98705291748047,,1133.1241455078125,120.49411010742188
2020-01-08,721.3569946289062,2736.68359375,493.4230651855469,1206.9810791015625,1937.937744140625,1789.14453125,508.4140625,639.0213623046875,188.58245849609375,1649.8651123046875,6755.01904296875,1357.8668212890625,90.7889633178711,674.6419067382812,181.42295837402344,52.659393310546875,,1116.859130859375,120.30524444580078
2020-01-09,739.6273193359375,2716.31884765625,488.8320617675781,1220.516845703125,1968.877685546875,1794.430419921875,528.0855712890625,647.3406372070312,189.8708038330078,1660.0345458984375,6940.04443359375,1381.662841796875,90.33483123779297,690.1798095703125,190.8146209716797,54.11044692993164,,1136.5430908203125,119.76226806640625
2020-01-10,736.8395385742188,2706.0458984375,488.87432861328125,1231.3643798828125,1976.3194580078125,1812.003173828125,522.2373046875,656.7720336914062,191.6422882080078,1679.6253662109375,7038.55859375,1385.663330078125,91.05387115478516,690.0237426757812,195.13775634765625,55.18704605102539,,1127.3604736328125,118.86517333984375
2020-01-13,734.2009887695312,2756.143310546875,494.0550231933594,1234.532470703125,1979.078369140625,1849.884765625,520.642333984375,688.2694091796875,192.6488037109375,1686.006103515625,7059.87451171875,1383.059326171875,92.15135955810547,688.2626342773438,195.0383758544922,55.60832214355469,,1132.1470947265625,120.30524444580078
2020-01-14,744.6554565429688,2810.4951171875,500.6254577636719,1237.8924560546875,2016.4154052734375,1862.8211669921875,519.6755981445312,690.1378173828125,195.8697052001953,1671.7491455078125,7092.61572265625,1402.90625,93.47590637207031,681.8870849609375,194.64083862304688,56.35725402832031,,1140.1087646484375,121.43842315673828
2020-01-15,743.0623779296875,2818.6865234375,501.846923828125,1232.8525390625,2070.684814453125,1874.7374267578125,517.7423095703125,682.9307250976562,195.1852569580078,1670.552734375,7184.93701171875,1402.114013671875,93.74081420898438,679.4125366210938,199.11306762695312,57.0125732421875,,1157.4481201171875,117.2126235961914
2020-01-16,734.1014404296875,2851.315673828125,499.74090576171875,1236.116455078125,2035.7318115234375,1900.33154296875,519.24072265625,682.4414672851562,193.85665893554688,1696.424560546875,7165.4453125,1448.7908935546875,91.9242935180664,685.6766967773438,196.33035278320312,57.10618591308594,,1165.3118896484375,118.25135803222656
2020-01-17,736.690185546875,2827.963623046875,504.4160461425781,1226.99658203125,2052.037109375,1910.578369140625,514.3106689453125,683.19775390625,193.2124786376953,1692.98486328125,7220.6552734375,1456.7681884765625,91.73506164550781,704.8930053710938,196.08189392089844,57.62107849121094,,1161.258056640625,118.55826568603516
2020-01-20,724.0452880859375,2815.2919921875,496.3714294433594,1204.6771240234375,2019.9273681640625,1912.9432373046875,517.0172729492188,683.7315673828125,194.7826385498047,1613.0264892578125,7152.91552734375,1454.673583984375,89.50224304199219,683.2022705078125,193.7960968017578,56.4040641784668,,1160.3787841796875,117.0945816040039
2020-01-21,714.4869384765625,2816.016357421875,491.9910888671875,1194.54931640625,2005.7952880859375,1906.03466796875,513.3441162109375,678.4375610351562,192.00465393066406,1620.2049560546875,7011.8173828125,1441.7943115234375,88.66966247558594,683.8933715820312,190.2183074951172,55.74874496459961,,1148.998291015625,116.66964721679688
2020-01-22,709.508544921875,2811.581787109375,497.5507507324219,1191.189453125,2006.08837890625,1902.6033935546875,505.41741943359375,685.2886352539062,191.68255615234375,1580.72412109375,6851.4208984375,1467.0767822265625,84.88520812988281,683.6481323242188,184.45413208007812,55.37427520751953,,1150.414794921875,116.07945251464844
2020-01-23,719.8634643554688,2817.55517578125,504.5425109863281,1195.029296875,2031.75927734375,1907.425537109375,510.1057434082031,697.878662109375,191.561767578125,1601.0128173828125,6862.46240234375,1467.090576171875,85.90701293945312,680.75,187.23683166503906,56.310447692871094,,1176.2530517578125,117.42509460449219
2020-01-24,734.2009887695312,2889.55615234375,513.62841796875,1194.741455078125,2064.28759765625,1923.0047607421875,516.0507202148438,696.4552001953125,191.76307678222656,1638.0010986328125,6844.55517578125,1486.5887451171875,86.85313415527344,678.3870849609375,185.3485565185547,57.29342269897461,,1199.4537353515625,117.37770080566406
2020-01-27,737.0386962890625,2872.99267578125,510.7969055175781,1164.6458740234375,2053.500732421875,1911.552490234375,519.3373413085938,692.3176879882812,188.90457153320312,1613.47509765625,6864.09375,1478.14892578125,85.64210510253906,671.6992797851562,181.07510375976562,56.82533645629883,,1185.7286376953125,116.31105041503906
2020-01-28,733.9521484375,2879.373779296875,508.3459167480469,1174.2457275390625,2064.455078125,1910.856689453125,510.58905029296875,692.2286987304688,185.804443359375,1621.1519775390625,6718.3876953125,1454.6170654296875,84.80951690673828,656.18359375,175.01278686523438,56.87214279174805,,1167.363525390625,115.69477081298828
