"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jul-2020","EQ","701.85","716.70","696.00","695.45","706.00","705.20","707.58","1,170.00","375.25","63,22,672","4,47,37,86,956.25","1,15,232"
"30-Jul-2020","EQ","698.00","712.55","692.65","694.40","696.00","695.45","704.44","1,170.00","375.25","79,66,921","5,61,22,23,034.45","1,38,161"
"29-Jul-2020","EQ","710.00","710.75","692.50","712.45","694.40","694.40","698.86","1,170.00","375.25","71,42,688","4,99,17,07,650.85","1,21,239"
"28-Jul-2020","EQ","702.00","716.05","695.70","701.10","711.00","712.45","706.79","1,170.00","375.25","84,69,643","5,98,62,35,040.20","1,82,016"
"27-Jul-2020","EQ","684.00","704.40","676.50","679.95","700.85","701.10","693.12","1,170.00","375.25","1,13,49,061","7,86,62,39,651.95","2,06,079"
"24-Jul-2020","EQ","641.00","684.80","640.90","652.85","683.50","679.95","665.76","1,170.00","375.25","1,23,65,729","8,23,25,73,071.10","1,60,216"
"23-Jul-2020","EQ","650.00","656.95","643.55","650.15","650.95","652.85","651.15","1,170.00","375.25","31,73,126","2,06,61,79,589.45","76,991"
"22-Jul-2020","EQ","657.00","658.00","643.10","652.35","650.65","650.15","648.94","1,170.00","375.25","38,37,969","2,49,05,98,440.35","72,222"
"21-Jul-2020","EQ","652.00","662.35","643.30","648.60","652.30","652.35","652.33","1,170.00","375.25","88,01,064","5,74,11,91,833.10","1,50,497"
"20-Jul-2020","EQ","633.00","652.00","626.85","623.15","649.40","648.60","639.34","1,170.00","375.25","1,05,43,170","6,74,06,80,411.15","1,78,170"
"17-Jul-2020","EQ","629.50","644.65","613.40","627.75","624.70","623.15","630.82","1,170.00","375.25","2,68,30,689","16,92,54,68,925.35","3,65,141"
"16-Jul-2020","EQ","630.00","652.20","607.15","615.20","634.00","627.75","631.15","1,170.00","375.25","2,07,71,278","13,10,98,03,014.05","3,04,276"
"15-Jul-2020","EQ","593.65","627.95","592.50","591.35","618.95","615.20","616.35","1,170.00","375.25","99,28,037","6,11,91,48,156.75","1,39,453"
"14-Jul-2020","EQ","604.60","613.75","588.10","602.60","590.25","591.35","602.11","1,170.00","375.25","62,12,718","3,74,07,49,506.55","1,01,537"
"13-Jul-2020","EQ","585.00","605.00","583.35","582.25","604.00","602.60","597.94","1,170.00","375.25","54,43,995","3,25,52,06,313.10","75,578"
"10-Jul-2020","EQ","588.25","588.55","579.85","588.25","582.00","582.25","583.68","1,170.00","375.25","23,76,908","1,38,73,50,540.50","57,166"
"09-Jul-2020","EQ","575.65","591.60","575.00","574.90","588.00","588.25","585.07","1,170.00","375.25","48,07,935","2,81,29,77,215.90","73,521"
"08-Jul-2020","EQ","594.75","594.75","573.00","592.05","574.45","574.90","580.07","1,170.00","375.25","46,25,061","2,68,28,49,750.60","81,989"
"07-Jul-2020","EQ","582.00","594.45","575.15","578.70","593.00","592.05","585.73","1,170.00","375.25","72,55,520","4,24,97,80,977.90","1,20,847"
"06-Jul-2020","EQ","579.15","589.00","577.25","579.15","578.55","578.70","584.08","1,170.00","375.25","32,88,423","1,92,06,85,979.35","76,889"
"03-Jul-2020","EQ","572.00","580.55","570.60","569.20","578.45","579.15","576.44","1,170.00","375.25","37,35,600","2,15,33,32,391.75","53,512"
"02-Jul-2020","EQ","555.00","572.40","552.90","551.75","570.95","569.20","564.57","1,170.00","375.25","52,43,654","2,96,04,14,869.10","1,06,497"
"01-Jul-2020","EQ","557.95","559.60","551.00","556.85","551.20","551.75","553.86","1,170.00","375.25","30,04,728","1,66,42,05,947.75","61,925"
"30-Jun-2020","EQ","558.00","560.80","553.25","553.70","557.00","556.85","556.70","1,170.00","375.25","31,10,587","1,73,16,48,263.85","1,10,486"
"29-Jun-2020","EQ","562.00","565.90","550.30","562.40","553.00","553.70","557.41","1,170.00","375.25","38,57,756","2,15,03,61,998.85","99,294"
"26-Jun-2020","EQ","550.05","573.90","545.00","550.05","562.80","562.40","562.18","1,170.00","375.25","70,34,881","3,95,48,69,425.85","1,18,617"
"25-Jun-2020","EQ","557.60","560.70","548.00","559.60","548.40","550.05","552.37","1,170.00","375.25","63,53,508","3,50,95,01,266.95","1,11,681"
"24-Jun-2020","EQ","575.00","579.80","554.40","580.25","561.00","559.60","566.23","1,170.00","375.25","53,39,903","3,02,35,91,331.40","1,11,222"
"23-Jun-2020","EQ","569.70","583.50","563.75","569.60","579.00","580.25","577.22","1,170.00","375.25","45,22,086","2,61,02,40,459.95","1,06,226"
"22-Jun-2020","EQ","575.00","576.65","565.40","569.60","569.95","569.60","571.13","1,170.00","375.25","26,66,303","1,52,28,15,747.20","65,666"
"19-Jun-2020","EQ","574.00","578.00","567.20","578.95","572.00","569.60","570.92","1,170.00","375.25","61,82,630","3,52,98,15,538.60","76,370"
"18-Jun-2020","EQ","571.20","583.80","570.10","575.85","577.90","578.95","576.20","1,170.00","375.25","19,18,329","1,10,53,49,680.50","48,659"
"17-Jun-2020","EQ","580.00","581.85","573.00","580.90","575.60","575.85","577.87","1,170.00","375.25","35,72,362","2,06,43,52,471.20","93,262"
"16-Jun-2020","EQ","585.00","593.50","578.40","578.95","579.20","580.90","585.75","1,170.00","375.25","47,28,409","2,76,96,51,588.95","92,201"
"15-Jun-2020","EQ","574.80","581.00","563.70","570.75","579.25","578.95","574.52","1,170.00","375.25","37,87,100","2,17,57,60,975.60","81,883"
"12-Jun-2020","EQ","555.20","578.70","555.20","578.05","571.00","570.75","568.02","1,170.00","375.25","66,24,056","3,76,25,82,706.00","1,18,919"
"11-Jun-2020","EQ","580.00","584.90","574.10","578.70","576.25","578.05","579.16","1,170.00","375.25","49,75,680","2,88,16,95,648.50","72,961"
"10-Jun-2020","EQ","575.00","587.50","573.60","572.85","578.00","578.70","580.68","1,170.00","375.25","64,91,758","3,76,96,45,787.40","93,652"
"09-Jun-2020","EQ","574.15","583.60","570.00","578.25","570.00","572.85","576.99","1,170.00","375.25","38,12,757","2,19,99,37,347.40","1,27,861"
"08-Jun-2020","EQ","579.15","583.50","571.05","575.95","578.00","578.25","578.51","1,170.00","375.25","37,72,143","2,18,22,08,882.35","84,820"
"05-Jun-2020","EQ","585.00","587.15","572.50","578.95","575.00","575.95","577.45","1,170.00","375.25","39,95,825","2,30,73,77,577.40","90,192"
"04-Jun-2020","EQ","565.00","583.70","559.00","562.80","580.75","578.95","570.09","1,170.00","375.25","53,15,354","3,03,02,45,420.00","1,57,648"
"03-Jun-2020","EQ","564.00","568.40","557.00","560.20","565.30","562.80","562.01","1,170.00","375.25","42,02,273","2,36,17,20,133.05","82,210"
"02-Jun-2020","EQ","559.30","567.75","550.00","559.75","562.95","560.20","560.98","1,170.00","375.25","29,30,073","1,64,37,08,343.00","72,773"
"01-Jun-2020","EQ","557.00","573.40","555.50","550.25","557.00","559.75","565.68","1,170.00","375.25","45,03,607","2,54,76,16,414.45","80,585"
"29-May-2020","EQ","540.00","555.00","536.70","542.65","552.00","550.25","548.18","1,170.00","375.25","78,53,814","4,30,53,27,791.80","1,11,025"
"28-May-2020","EQ","531.00","546.00","523.00","530.95","543.90","542.65","534.35","1,170.00","375.25","44,92,817","2,40,07,51,811.85","97,391"
"27-May-2020","EQ","529.70","533.90","516.00","524.00","527.20","530.95","524.45","1,170.00","375.25","48,28,848","2,53,24,69,094.40","85,742"
"26-May-2020","EQ","530.00","536.50","520.25","530.40","527.50","524.00","529.01","1,170.00","375.25","40,55,697","2,14,55,21,329.15","80,198"
"22-May-2020","EQ","533.65","535.00","523.00","534.85","531.45","530.40","529.42","1,170.00","375.25","64,10,485","3,39,38,40,793.15","88,894"
"21-May-2020","EQ","529.80","537.50","523.40","526.75","534.90","534.85","531.05","1,170.00","375.25","45,23,685","2,40,23,05,199.60","85,794"
"20-May-2020","EQ","515.05","528.65","515.00","518.25","526.40","526.75","524.14","1,170.00","375.25","31,38,733","1,64,51,22,999.50","69,200"
