,SHRIRAMFIN.NS,BAJAJHLDNG.NS,CHOLAFIN.NS,BAJAJFINSV.NS,BAJFINANCE.NS,INDUSINDBK.NS,HINDALCO.NS,COALINDIA.NS,HDFCBANK.NS,SUNPHARMA.NS,ZOMATO.NS,AXISBANK.NS,JSWSTEEL.NS,ICICIGI.NS,NAUKRI.NS,NESTLEIND.NS,RELIANCE.NS,INDIGO.NS,BHARTIARTL.NS,ICICIBANK.NS,WIPRO.NS,POWERGRID.NS,TITAN.NS,ATGL.NS,SHREECEM.NS,ADANIPORTS.NS,SBILIFE.NS,DRREDDY.NS,TATACONSUM.NS,INFY.NS,BRITANNIA.NS,ZYDUSLIFE.NS,ADANIENT.NS,HAL.NS,ADANIENSOL.NS,LODHA.NS,TCS.NS,JINDALSTEL.NS,ITC.NS,TATASTEEL.NS,HINDUNILVR.NS,HDFCLIFE.NS,BANKBARODA.NS,PFC.NS,DMART.NS,SBIN.NS,GODREJCP.NS,UNITDSPR.NS,UNIONBANK.NS,KOTAKBANK.NS,ADANIPOWER.NS,BOSCHLTD.NS,HCLTECH.NS,MARUTI.NS,AMBUJACEM.NS,NTPC.NS,LT.NS,ASIANPAINT.NS,RECLTD.NS,APOLLOHOSP.NS,PIDILITIND.NS,ICICIPRULI.NS,TORNTPHARM.NS,PNB.NS,BEL.NS,TECHM.NS,LICI.NS,CIPLA.NS,NHPC.NS,JIOFIN.NS,TATAMOTORS.NS,DABUR.NS,ONGC.NS,IRFC.NS,DIVISLAB.NS,GAIL.NS,LTIM.NS,IRCTC.NS,ADANIGREEN.NS,VEDL.NS,EICHERMOT.NS,CANBK.NS,IOC.NS,GRASIM.NS,TVSMOTOR.NS,HEROMOTOCO.NS,MOTHERSON.NS,DLF.NS,BPCL.NS,JSWENERGY.NS,BAJAJ-AUTO.NS,M&M.NS,TRENT.NS,TATAPOWER.NS,ABB.NS,SIEMENS.NS,BHEL.NS,ULTRACEMCO.NS,HAVELLS.NS,VBL.NS
SHRIRAMFIN.NS,,0.7904267903826715,0.7686505574738921,-0.6506716995360654,0.6498429707477937,-0.8902592674010709,-0.7340297147414813,-0.919502936407891,0.781472033266094,0.8746643849057649,0.8520197083403517,-0.8822383769824277,0.7985222738146442,0.9002592111574711,0.818952189664284,-0.8701768977226375,-0.9010729966419014,0.7700809852408698,-0.8002139872112228,0.7872211973486115,0.8692131449046382,-0.8844698706582268,-0.571573579678186,-0.8415042351206672,0.7912524612211436,-0.9213868210179849,-0.7909008653717124,-0.7005353060924555,-0.8273786874142742,-0.8237929958129044,-0.8548845302566725,0.8168971464510462,-0.8967030284801275,-0.8420721522293642,-0.8684379513874181,0.7786223675516692,-0.7455733180334192,-0.7666891446726323,-0.8997657937207502,-0.8848774281845927,-0.8708392302441278,-0.8601798986611162,-0.7365089547668421,-0.8179486773020609,-0.9013563410062042,-0.7007267972347707,-0.902237377141926,0.8231742835744593,-0.7678796601919535,-0.6309519989862741,-0.8723023974870505,0.7519373186299796,-0.8650047115531486,-0.6852687447735504,-0.8553373238756102,-0.9151231547275364,-0.48198416536243704,-0.8893651722909077,-0.8494752273860339,0.8000582233346741,-0.8196819064875869,-0.9360965251508716,0.8537863970144741,-0.7808261999398403,-0.7882982399334864,0.8539729359994088,-0.8739400492558214,-0.8595380838392064,-0.8560844892146355,-0.876090632386467,-0.8790426327772158,-0.8807859983817085,-0.792316845487373,-0.8084874546353702,0.8888867193984754,-0.9383201768615511,0.8307001832913511,-0.879609107291248,-0.905202003604094,-0.7136840450732627,-0.7411496919875447,-0.8180478774971606,-0.927074181368082,-0.8433518917482832,0.8976143243057245,-0.9257674850090973,-0.932476825222533,-0.7975434390664937,-0.9263562687335716,-0.8711873845857383,0.788877195784415,-0.7950777839326765,0.9138744242372125,-0.8699213099448089,-0.9270089841629129,-0.756175602028978,-0.8919437530885378,0.7882640173991087,-0.8792240765056655,0.6424119394995756
BAJAJHLDNG.NS,0.7904267903826715,,0.803582822985922,0.6313544616234934,0.6349741215152939,-0.9073109064211367,-0.7859098009313681,-0.9418280229464311,0.9007567011697776,0.8067781669749714,0.8645739540987625,-0.8521986369741147,0.8857584456676721,0.7814528890228974,0.9082385972556812,-0.894936922568895,-0.9227550476286854,0.8023129564274579,0.8792451040076554,0.8971697248015383,0.9101907665598579,-0.8208564067802646,-0.5195807044430009,-0.9153579991615383,0.7698406558143629,-0.916059028531923,-0.8399227243772875,-0.6650852648697155,-0.8824242207359217,0.8805468295324161,-0.857335200246841,-0.8545915009330475,-0.9082765805246199,-0.7968406245342897,-0.8672541828788444,-0.4538401673632716,0.6374569714107927,-0.7330430617363071,-0.8664435729009339,-0.8560647593692685,-0.8919404752581849,-0.8705663962587445,-0.8194942962342191,-0.7514597609657603,-0.928738489973524,-0.7055582542685404,-0.9364939976904727,0.8751472732568828,-0.8775947276345171,0.6362055783987627,-0.9027485314810267,0.8302446112988464,0.8491705226791113,0.5747891221939884,-0.8907461628280513,-0.9317852647931749,-0.519909255632707,-0.9258075724431458,-0.7866261047244731,0.8190816413023988,-0.8241090878316977,-0.928415541112742,0.8655824070641498,-0.9225762726570398,0.7813067917455114,0.9323607964637913,-0.8636106977687463,-0.7980433310675112,-0.919971829764135,-0.8272817982225813,-0.9150758278533945,-0.9185906906363239,-0.8329773005924821,-0.8453327917928631,0.9194102583891098,-0.920049880731394,0.8348556793107225,-0.9250215544362655,-0.9243081252168337,0.8607379714920166,0.8262921022494627,-0.8869706405945524,-0.9208412848793537,0.8220544015366377,0.7851510339946794,-0.918840321648619,-0.9268749924166116,-0.7583900514391265,-0.9384659709089713,-0.8654429378118466,0.7910802207714122,0.9028804275886855,0.8468680568939617,-0.8699643396189498,-0.8677527004230421,0.8288883369309142,-0.907662929902097,0.7983641502173421,-0.8857357829826551,-0.6026236951580881
CHOLAFIN.NS,0.7686505574738921,0.803582822985922,,0.6099393699159689,0.5575629182079217,-0.8787122090686529,0.7747649145515865,-0.9083458077795278,0.78234415955404,0.8104175931770549,0.8905942600079834,-0.7897613193815138,0.6790413625609538,-0.8413087700181413,0.9052959237966937,-0.8017519908841189,-0.8996452015330364,0.8401638646278359,0.6673615800889509,0.8079890282836527,0.8832688241776778,-0.7938009822745703,0.825146678170406,-0.9077175939335577,0.6895021976008389,-0.897468922805918,-0.9011080842018664,-0.8557657578385834,-0.81840638288534,0.8022076179164813,-0.8557016326848701,-0.893488204408994,-0.8870066257238517,-0.8350695561883814,-0.9106458169836427,-0.6612095996279129,-0.7946939478329538,-0.7716894981786688,-0.8254926655051342,-0.8397503640214216,-0.8971702668548476,-0.8763014623371683,0.8003055014620112,-0.8414376632332938,-0.8545345691868569,-0.8188452255869256,-0.9306807655967189,0.8580985456569893,-0.8232747732155478,-0.7094762346099053,-0.9141455620107153,0.6797437994996921,0.9098208732386049,-0.6340463396339708,-0.9054384709673523,-0.8095732407012307,-0.44337929495452333,-0.9029606111594561,-0.8742134546971972,0.880634737885308,-0.7086029276984569,-0.8264193948101728,0.7676477672704192,-0.8848816083324642,-0.7796588937160239,0.831609027632743,-0.9192374138256594,-0.8152543011502138,-0.9335204794407156,-0.7203722584421167,-0.9410143664427334,-0.8713910031414269,-0.9167587902693208,-0.877039426317366,0.8503849693742062,-0.8785113080569881,0.8174856180155,-0.8997926074159504,-0.9035214730094078,-0.8276675612448164,-0.7911966416468647,-0.8394477657751729,-0.9084318328910752,0.7910765583670017,0.8073599680622388,-0.9007308091196363,0.8528601357304949,-0.6704548577796455,-0.8763328640424715,-0.734646770607408,-0.8519830602792435,-0.8043163148812951,0.7588044366407186,-0.6714934895743838,-0.8198858868142234,-0.8233493460015566,-0.9417423531248641,-0.7457234883513513,-0.8231197771358231,-0.6834405217022932
BAJAJFINSV.NS,-0.6506716995360654,0.6313544616234934,0.6099393699159689,,0.8472757520974825,-0.6790783695024862,-0.8104263687407264,-0.7122658907969965,0.6570413879935876,0.6503698075592409,-0.6670948980982858,-0.837967520342722,0.6071996988683153,0.6829840479113582,0.5787073484155596,-0.6490470300848588,-0.6302667882409136,0.5285439877595366,0.6569908465810957,0.5466666024155455,0.6675553083105302,-0.8011921899258967,0.7302834656356741,-0.5855538390986978,0.7278905642167839,-0.6978404823454025,-0.5927672967017027,0.7413114247530164,-0.7553817854410934,0.6362995220884092,-0.6989984115732444,0.5825174798011513,-0.6624361560856603,-0.7076470488920943,-0.6374140061080849,-0.7264843671981883,0.7219922097160095,-0.6943081472120103,-0.7524473478672571,-0.7868880303610772,-0.6289003243256971,-0.5856266323791257,-0.8022025851612882,-0.6969450691967651,-0.6509339550546722,0.7514550870250957,-0.6927517039275329,0.553480395061597,-0.583882059468,0.7683018397152598,-0.6986219157892675,-0.8528248861841125,0.5415409415533847,-0.7907479221524106,-0.599282102001354,-0.7716868361489362,-0.6261530612531067,-0.755265042782488,-0.7190659607440896,-0.5659482748765107,-0.8271400413334857,-0.7591644044783823,0.6565355577384968,-0.5765261292428296,0.7235418960443469,0.5163397027016092,-0.6325596021902402,-0.5887489500747339,-0.6598857582715825,-0.87204979134968,-0.5885993656798263,-0.6457910917514013,-0.5633274098881864,-0.5845905796270736,0.5414873477189779,-0.7344334974310073,0.5754047135084018,-0.6205848897262385,-0.741323953979734,-0.6076353687801131,0.6845481902326028,-0.6848774887700493,-0.6647585907249022,-0.8113315424018404,0.6350877853388783,-0.7821193801405523,-0.7686808336706835,-0.7704059637373069,-0.7146883282625304,-0.8815922385036918,-0.6428169589197834,-0.6202869677366275,-0.6882370487656467,-0.8615239917316322,-0.8355692242953257,-0.817291682275193,-0.6550315721417245,0.6715641659841868,-0.690225530313091,-0.770659728369152
BAJFINANCE.NS,0.6498429707477937,0.6349741215152939,0.5575629182079217,0.8472757520974825,,-0.7096305903426435,0.5667633334923639,-0.5677914659050073,0.6299686208853053,0.8864392748907853,0.7079445049801676,-0.6592872672338095,0.6300447738564264,0.7622894080580183,0.6417741066620246,-0.6649428279342666,-0.7079052924357119,0.5720308505984959,0.6453073088486694,0.5753414982916006,0.6605447190564734,-0.6292934599294676,-0.5618451485357578,-0.7003700311772165,0.6112363773878048,-0.5111339155085735,0.7991418059515242,-0.7334256324114606,-0.7225565505525421,0.7243368583854909,0.5101964579022074,-0.5527057286112479,-0.7203441802985724,-0.5837589009305936,-0.7446687152951161,-0.6552441281297391,0.783877991925063,-0.6509633491679848,0.6958274893909729,-0.6328175349639694,0.542252112319984,0.8644790541196956,-0.6708342884534948,-0.5840619237072354,-0.6187305388081383,-0.5783613604339536,-0.4594795737192597,0.6491832638735567,-0.7228753412003327,0.7409430182036894,-0.45313855826164684,-0.6144466578022382,0.7754734654624766,-0.6545786615011567,-0.5508380434239547,0.6251021677212529,-0.587999834786872,0.752693274138023,-0.5798844303705245,0.7960552720601953,0.5191643464386121,0.7692900360728051,0.6846149631867634,-0.625763208267405,-0.5294466239021612,0.6124261710585753,-0.5674676898542537,0.6166654526226795,-0.5676445790683261,-0.7049111771470643,-0.795034355218313,0.36309265100240895,0.6362197877722808,-0.5135908055990117,0.617573451589935,-0.5496119477026795,0.6547013441874742,-0.6069041716484606,-0.8474521603956207,0.526292098949597,0.4604813140627121,-0.587831964426568,-0.7676669882199983,-0.591630925043835,0.5793857247670456,-0.5144034687883554,-0.4848289499777129,-0.6342287708031489,0.6032810509975272,-0.5782638486313174,0.7452588217802809,0.45388739285339064,0.6388641465313829,-0.6514394273751214,-0.5976283080168114,-0.5698612493070336,-0.602043336671174,0.5767265282895234,0.49181152338411804,-0.6179428397041555
INDUSINDBK.NS,-0.8902592674010709,-0.9073109064211367,-0.8787122090686529,-0.6790783695024862,-0.7096305903426435,,-0.857445300566006,-0.8464552310553242,-0.8655202305220988,-0.9335569711477466,-0.9565393232664796,0.8480183610228914,-0.7851951579495371,-0.9336580428443783,-0.9163116971324753,0.9204757777654439,0.9048908172761005,-0.8859242345144088,-0.8748358348511242,-0.8684922848799296,-0.8616788304399801,-0.9214640999436207,0.7926189944551945,0.9011099844072211,-0.4802469625003431,-0.857139433872651,-0.8960105466680467,-0.8751556636182302,0.8687507429253128,-0.908413191464028,-0.8867926530275354,-0.8536429726152379,0.9226822307569649,-0.9134313659191554,0.9074870150443765,-0.6888744347248148,-0.7879919940966705,-0.8122662965521492,-0.9623551340506473,0.8290179232924827,-0.8945532965094937,-0.9058800968850089,0.8316196395330254,-0.8946636162280982,0.8052687177610472,-0.8577855916538171,-0.909805304993265,-0.9356486964347722,0.9042851111740444,-0.6969295302542161,-0.8564922888272286,-0.7718458780452677,-0.8458962642117268,0.5793271890444905,0.8166934629569171,-0.8855203498924838,0.6831465173860365,0.8563776179492244,-0.823725003893502,-0.8795609690552174,-0.7772975523977477,-0.9511305192769904,-0.9434340542385174,0.8939367741691413,-0.9329463812314776,-0.9093988084777177,0.784326696199712,-0.7959120182386196,-0.8234215932429488,0.9505861838319961,0.8741909252005619,-0.9262016423475814,0.7339669927088347,-0.8875835236916337,-0.9082377384444881,-0.838802038263223,-0.8683322699598818,0.8641232706523856,0.9445088251443788,-0.9168081680247055,-0.903508769895045,0.8315883604387889,0.9119285185289896,-0.8954625693847225,-0.8666774926893039,-0.8966360545814029,-0.9313642244751223,0.8152900433249876,0.7523339260809733,0.8606669745029895,-0.7680622589820449,-0.9542542108646336,-0.9251090434444191,0.8471399608826352,-0.9056452584684396,-0.916285629913894,-0.8672198385347277,-0.9418168300386499,-0.926180096465883,0.8277321625530167
HINDALCO.NS,-0.7340297147414813,-0.7859098009313681,0.7747649145515865,-0.8104263687407264,0.5667633334923639,-0.857445300566006,,-0.8201315803159843,0.8078572234250975,-0.8393539254986089,0.8273954597425652,-0.7147895657757786,0.7294202147955597,-0.8389121212281399,0.844687850676154,-0.8304738256066333,-0.9116298646917717,0.7369849796680239,0.7971586707919428,0.8051318434964685,0.7469383949316105,-0.8228358141242935,-0.7657616225312076,-0.8499351651284589,0.6232127080674655,-0.7625279556679047,-0.8894270988193668,-0.7780153269342931,-0.9025595211137611,0.8978558433051506,-0.8955034788507705,-0.9170266399733751,-0.697341646680252,-0.8546610062691746,-0.7356759872748295,-0.6819725144482484,-0.7840444412575707,0.7909883640650597,-0.7361532184749189,-0.7791104233055901,-0.8580594694493294,-0.8233611967931371,0.7673184546341328,-0.7962023874784554,-0.9031400832905181,-0.6816966184899483,-0.8844247043980218,0.8275451678853832,-0.8427333202291788,-0.6329160374345463,-0.8207505360348827,0.7414455412827851,0.8571013648948678,0.6700574758231932,-0.8449601381782459,0.7430986394662952,-0.47607090869309715,-0.8328140146511603,-0.8268106146796338,0.8480590170447199,0.7615248387947038,-0.7839447175730909,0.8167114771820716,-0.8702232946983788,-0.755975050244189,0.8309725918472877,-0.8652083736517223,-0.8042913983169444,-0.850666149271806,0.7164718406058366,-0.878775272374126,-0.9379661165076254,-0.8952570111070068,-0.9190241590804276,0.8767406452641648,0.7239460021260762,0.7933361086988144,-0.828030334299217,-0.7881736078789967,0.815390964758568,-0.5934728864246984,-0.7788240669906431,-0.8184811097874696,-0.7895098683406306,-0.8202801495160991,-0.7904050842126444,0.8106824282936373,0.6167386771101101,-0.7242199728304759,0.7496845021442746,-0.7631694851413725,-0.7496678964616794,-0.7410796408410596,0.732317623408582,0.8226496684783349,0.8200768415271912,-0.8492144904785273,-0.7991941156507459,0.823590264738015,-0.5791389608755646
COALINDIA.NS,-0.919502936407891,-0.9418280229464311,-0.9083458077795278,-0.7122658907969965,-0.5677914659050073,-0.8464552310553242,-0.8201315803159843,,-0.9011703045540909,-0.9327448352469417,-0.9123483819049599,-0.8659192326056672,-0.8283789227722391,-0.9226013708778564,-0.9317205277308651,0.7958757453074734,0.9046806191273284,-0.909664802817483,-0.949487138152213,-0.8906483968113473,0.821957072379769,-0.908363806211467,0.622326590678205,0.8618715607730855,-0.667168954827804,0.9431582333483007,-0.8806366674922397,-0.8209019115029633,-0.8229395082026726,-0.9449124114216819,-0.9482830981817354,-0.8696826408004885,-0.8218229030069367,-0.8695065335468576,0.820009133971578,-0.5816220763371965,-0.7699355766023747,-0.7819912175074165,-0.8976085392249107,-0.8102963652148087,-0.9291276614792403,-0.9107489694761508,0.7623852601093726,-0.8982538815049602,0.9118139565746312,-0.772505501000026,-0.9308922956746619,-0.925414640457631,0.9160857784644927,-0.6128168237368455,0.8543262422905936,0.8423328312343209,-0.9323352493685867,0.6811849539168604,0.8966278917444132,0.8926131370224333,0.5136888545399924,0.9136993253245282,-0.8855654074682631,-0.9150048833788031,-0.8743500032752158,-0.9133281663212535,-0.9525274793857007,0.8981600956351827,-0.9046819168988915,-0.9742898066990837,0.8759309037614103,-0.833532652556502,0.8841831041251809,-0.8436188625916291,0.8983925058819999,-0.9442462700978042,0.8573759366847148,-0.8643078746781608,-0.9579481231442201,-0.8962043429226361,-0.9262150985964711,0.8736753609292096,-0.8560025400973044,-0.8602257557830545,-0.8643373460942236,0.8416694055488437,0.8814593738006559,-0.896816497718302,-0.9287695233752591,-0.8867972969569213,-0.9484126805878215,-0.7638996703371337,0.8821330269199448,-0.9028497021626648,-0.8195000186950006,-0.9236608034229622,-0.9391962908013867,-0.8557603924670162,-0.850008548095509,-0.864297594832149,0.8696366740884628,-0.9182723813131709,-0.9193119372514802,-0.7330038746265909
HDFCBANK.NS,0.781472033266094,0.9007567011697776,0.78234415955404,0.6570413879935876,0.6299686208853053,-0.8655202305220988,0.8078572234250975,-0.9011703045540909,,0.7418777240214628,0.8364297055431021,-0.7838607928903594,0.8117380725329387,0.7784211781561007,0.9105465328093157,-0.8399408853759439,-0.8780227823896581,0.8054402721288044,0.8384437304635501,0.9281245828393122,0.8760864386680773,-0.753618426270622,-0.6139058905614643,-0.8848068917646003,0.6809243442443306,-0.8953003381851212,-0.8270617182171883,-0.7767323427176274,-0.8023453494282823,0.8385142506153398,-0.8200867382753899,-0.8577944326801348,-0.8947018984218956,-0.8500865698683544,-0.916795889820671,0.7693848027106707,0.7114201889107278,0.7256211094105199,0.7914379015517657,-0.8778699871729609,-0.8184251748071236,-0.8799524696495108,-0.7749844085493941,-0.8089989288957521,-0.8687257071153851,0.7593994722986706,-0.8749442215814068,0.8372833469173572,-0.8309287583508884,0.6818990332587539,-0.9071582384331831,0.7453843046630351,0.8287188520003289,-0.5601229796747665,-0.8928369780054117,-0.8103171195460424,-0.4492541132250101,-0.8558899663798091,-0.8013863663529155,0.7927530293584101,0.7574448308049718,-0.7787803172848883,0.7811304832183422,-0.8771055327857847,0.698737808975327,0.8846558102326043,-0.8594570305157025,-0.7492365001866588,-0.9089133113536068,-0.8151926578107614,-0.8839420873197328,-0.8564749831726575,-0.870263810895866,-0.8606417589986124,0.8848292536662659,-0.8844251862062792,0.7670918179537182,-0.9086591017297064,-0.8687397820107247,0.7899167973589306,0.7272833009264251,-0.8491663941538836,-0.8973987883648548,0.7689704856662496,0.7350313487589057,-0.817324253051519,-0.8362663936549042,-0.6642521184414251,-0.8595490700982868,0.7741043425110544,0.8001372065165822,0.8484123968262667,0.8102558652868144,-0.707034572709418,-0.7716004837305993,0.7027635633051744,-0.8915009736927522,0.8225670829605641,-0.8188360586877249,-0.6245596498370812
SUNPHARMA.NS,0.8746643849057649,0.8067781669749714,0.8104175931770549,0.6503698075592409,0.8864392748907853,-0.9335569711477466,-0.8393539254986089,-0.9327448352469417,0.7418777240214628,,0.8933169917568519,-0.8983821302364196,0.689492036000125,0.8933038420683351,0.8451330247074034,-0.8948779634787076,-0.9247385688112536,0.8140525287856711,0.8094101894806234,0.806079206739627,0.8641205348067795,0.8872933988850813,-0.6196758770261015,-0.8558845071082025,0.6222342677161579,-0.9035187452778191,-0.819164055579442,0.682476898227918,-0.9499686104677332,0.9292804405586145,-0.8932559280660595,-0.8517671730548082,-0.9011921414792089,0.9108368684246017,-0.8563508399619965,0.7262710080244842,0.8356926746713723,0.9009251207643931,0.8573728227412962,-0.8061199412646275,-0.8580361182341583,-0.858698375461761,-0.8885282376132878,0.8012588128037629,-0.9446106233702936,-0.844360200001453,-0.9173803639396448,0.8999433043911289,-0.8447265587157795,0.8006782041173323,-0.8538595008895836,-0.8670803579475612,0.894476598469739,-0.6338850330551054,-0.8524727853515444,-0.9423185767507926,-0.6521716657007054,-0.9684412443905661,0.7957188237524316,0.9146782534798341,-0.8477251885307997,-0.9071238368937472,0.9285201381579818,-0.8316742346804938,0.86253174595137,0.861114024310657,-0.8064103097319782,-0.8151477106054328,-0.8693285635964173,-0.8837922961555512,-0.9109247168792425,-0.9299471792948494,-0.8225786315690203,-0.7910328298868529,0.8590703644539089,-0.8778226760509816,0.9210489735784569,-0.8332800315621665,-0.9511883395222067,0.8627281618734343,0.8426032526040591,-0.76528837642801,-0.911248379048593,0.8578232179386759,0.8658298204381055,-0.9245217896986463,-0.9364851971643882,-0.7405083966510485,-0.8890519192768515,-0.8909670423930445,-0.8165692168635309,0.8355217548440893,0.8976737670773497,-0.8907506017425632,0.8897615955880646,-0.8896289748949398,-0.8242140987011903,0.8603441274762855,-0.8612002125072211,-0.7768300129410919
