Stock A,Stock B,Correlation,Lag,Category
SHRIRAMFIN.NS,JIOFIN.NS,-0.2863728885663278,20,No Correlation
SHRIRAMFIN.NS,TATAMOTORS.NS,-0.32708031145806077,20,No Correlation
SHRIRAMFIN.NS,DABUR.NS,0.7210963375532201,-20,Positive
SHRIRAMFIN.NS,ONGC.NS,0.592501706825585,-20,Positive
SHRIRAMFIN.NS,IRFC.NS,0.48659863678387183,-20,No Correlation
SHRIRAMFIN.NS,DIVISLAB.NS,0.7785399358412207,20,Positive
SHRIRAMFIN.NS,GAIL.NS,0.6577491399180546,-20,Positive
SHRIRAMFIN.NS,LTIM.NS,0.8307001832913511,4,Positive
SHRIRAMFIN.NS,IRCTC.NS,-0.6125922423970882,20,Negative
SHRIRAMFIN.NS,ADANIGREEN.NS,-0.24074320273872596,20,No Correlation
SHRIRAMFIN.NS,VEDL.NS,0.6601314643207324,0,Positive
SHRIRAMFIN.NS,EICHERMOT.NS,0.5636685051583475,-20,Positive
SHRIRAMFIN.NS,CANBK.NS,-0.5725581344194596,20,Negative
SHRIRAMFIN.NS,IOC.NS,-0.3072306300559927,20,No Correlation
SHRIRAMFIN.NS,GRASIM.NS,0.8100691179959492,0,Positive
SHRIRAMFIN.NS,TVSMOTOR.NS,0.8976143243057245,-3,Positive
SHRIRAMFIN.NS,HEROMOTOCO.NS,0.6339107750803707,-16,Positive
SHRIRAMFIN.NS,MOTHERSON.NS,0.8182555744835254,-2,Positive
SHRIRAMFIN.NS,DLF.NS,-0.21648117626167415,-20,No Correlation
SHRIRAMFIN.NS,BPCL.NS,0.6397076859433836,-20,Positive
SHRIRAMFIN.NS,JSWENERGY.NS,0.7112619228698508,-12,Positive
SHRIRAMFIN.NS,BAJAJ-AUTO.NS,0.788877195784415,-3,Positive
SHRIRAMFIN.NS,M&M.NS,0.6969531344750626,0,Positive
SHRIRAMFIN.NS,TRENT.NS,0.9138744242372125,7,Positive
SHRIRAMFIN.NS,TATAPOWER.NS,0.3933694142923904,0,No Correlation
SHRIRAMFIN.NS,ABB.NS,0.5402384664416587,-20,Positive
SHRIRAMFIN.NS,SIEMENS.NS,0.5647456290077865,0,Positive
SHRIRAMFIN.NS,BHEL.NS,-0.36996259037484536,20,No Correlation
SHRIRAMFIN.NS,ULTRACEMCO.NS,0.7882640173991087,0,Positive
SHRIRAMFIN.NS,HAVELLS.NS,0.7139493631889663,-15,Positive
SHRIRAMFIN.NS,VBL.NS,0.4211452249297976,-3,No Correlation
BAJAJHLDNG.NS,CHOLAFIN.NS,0.38021947074795287,-13,No Correlation
BAJAJHLDNG.NS,BAJAJFINSV.NS,0.6015828342221854,3,Positive
BAJAJHLDNG.NS,BAJFINANCE.NS,0.5298680741742291,0,Positive
BAJAJHLDNG.NS,INDUSINDBK.NS,-0.8140878392739667,20,Negative
BAJAJHLDNG.NS,HINDALCO.NS,0.2986942380828634,-20,No Correlation
BAJAJHLDNG.NS,COALINDIA.NS,-0.570337618218779,20,Negative
BAJAJHLDNG.NS,HDFCBANK.NS,0.849294463552181,-11,Positive
BAJAJHLDNG.NS,SUNPHARMA.NS,0.8067781669749714,12,Positive
BAJAJHLDNG.NS,ZOMATO.NS,0.7964269905610823,-20,Positive
BAJAJHLDNG.NS,AXISBANK.NS,-0.5135819188017239,20,Negative
BAJAJHLDNG.NS,JSWSTEEL.NS,0.6860956787452815,-11,Positive
BAJAJHLDNG.NS,ICICIGI.NS,0.6412753950854178,-11,Positive
BAJAJHLDNG.NS,NAUKRI.NS,0.8733172953410692,-11,Positive
BAJAJHLDNG.NS,NESTLEIND.NS,-0.6698736139301051,20,Negative
BAJAJHLDNG.NS,RELIANCE.NS,-0.7862399566348568,20,Negative
BAJAJHLDNG.NS,INDIGO.NS,0.5881983822326357,-20,Positive
BAJAJHLDNG.NS,BHARTIARTL.NS,0.8668602170757052,-10,Positive
BAJAJHLDNG.NS,ICICIBANK.NS,0.8600399916435453,-5,Positive
BAJAJHLDNG.NS,WIPRO.NS,0.9101907665598579,-2,Positive
BAJAJHLDNG.NS,POWERGRID.NS,0.45786493156983615,-20,No Correlation
BAJAJHLDNG.NS,TITAN.NS,-0.34104725187758633,-20,No Correlation
BAJAJHLDNG.NS,ATGL.NS,-0.8945024348254289,8,Negative
BAJAJHLDNG.NS,SHREECEM.NS,0.26233708483488266,0,No Correlation
BAJAJHLDNG.NS,ADANIPORTS.NS,-0.6072889893351346,20,Negative
BAJAJHLDNG.NS,SBILIFE.NS,0.24423034467233176,-20,No Correlation
